policy_area,issue_number,salience,dateIssued,year_week
Energy,800,50.0,2015-08-16,2015_33
Transportation,1000,50.0,2015-08-16,2015_33
Law and Crime,1200,50.0,2015-08-16,2015_33
Social Welfare,1300,50.0,2015-08-16,2015_33
Housing,1400,50.0,2015-08-16,2015_33
Domestic Commerce,1500,50.0,2015-08-16,2015_33
Defense,1600,50.0,2015-08-16,2015_33
Technology,1700,50.0,2015-08-16,2015_33
International Affairs,1900,50.0,2015-08-16,2015_33
Government Operations,2000,50.0,2015-08-16,2015_33
Public Lands,2100,50.0,2015-08-16,2015_33
Macroeconomics,100,50.0,2015-08-23,2015_34
Civil Rights,200,50.0,2015-08-23,2015_34
Health,300,50.0,2015-08-23,2015_34
Agriculture,400,50.0,2015-08-23,2015_34
Labor,500,50.0,2015-08-23,2015_34
Education,600,50.0,2015-08-23,2015_34
Environment,700,50.0,2015-08-23,2015_34
Energy,800,50.0,2015-08-23,2015_34
Transportation,1000,50.0,2015-08-23,2015_34
Law and Crime,1200,50.0,2015-08-23,2015_34
Social Welfare,1300,50.0,2015-08-23,2015_34
Housing,1400,50.0,2015-08-23,2015_34
Domestic Commerce,1500,50.0,2015-08-23,2015_34
Defense,1600,50.0,2015-08-23,2015_34
Technology,1700,50.0,2015-08-23,2015_34
International Affairs,1900,50.0,2015-08-23,2015_34
Government Operations,2000,50.0,2015-08-23,2015_34
Public Lands,2100,50.0,2015-08-23,2015_34
Macroeconomics,100,50.0,2015-08-30,2015_35
Civil Rights,200,50.0,2015-08-30,2015_35
Health,300,50.0,2015-08-30,2015_35
Agriculture,400,50.0,2015-08-30,2015_35
Labor,500,50.0,2015-08-30,2015_35
Education,600,50.0,2015-08-30,2015_35
Environment,700,50.0,2015-08-30,2015_35
Energy,800,50.0,2015-08-30,2015_35
Transportation,1000,50.0,2015-08-30,2015_35
Law and Crime,1200,50.0,2015-08-30,2015_35
Social Welfare,1300,50.0,2015-08-30,2015_35
Housing,1400,50.0,2015-08-30,2015_35
Domestic Commerce,1500,50.0,2015-08-30,2015_35
Defense,1600,50.0,2015-08-30,2015_35
Technology,1700,50.0,2015-08-30,2015_35
International Affairs,1900,50.0,2015-08-30,2015_35
Government Operations,2000,50.0,2015-08-30,2015_35
Public Lands,2100,50.0,2015-08-30,2015_35
Macroeconomics,100,50.0,2015-09-06,2015_36
Civil Rights,200,50.0,2015-09-06,2015_36
Health,300,50.0,2015-09-06,2015_36
Agriculture,400,50.0,2015-09-06,2015_36
Labor,500,50.0,2015-09-06,2015_36
Education,600,50.0,2015-09-06,2015_36
Environment,700,50.0,2015-09-06,2015_36
Energy,800,50.0,2015-09-06,2015_36
Transportation,1000,50.0,2015-09-06,2015_36
Law and Crime,1200,50.0,2015-09-06,2015_36
Social Welfare,1300,50.0,2015-09-06,2015_36
Housing,1400,50.0,2015-09-06,2015_36
Domestic Commerce,1500,50.0,2015-09-06,2015_36
Defense,1600,50.0,2015-09-06,2015_36
Technology,1700,50.0,2015-09-06,2015_36
International Affairs,1900,50.0,2015-09-06,2015_36
Government Operations,2000,50.0,2015-09-06,2015_36
Public Lands,2100,50.0,2015-09-06,2015_36
Macroeconomics,100,50.0,2015-09-13,2015_37
Civil Rights,200,50.0,2015-09-13,2015_37
Health,300,50.0,2015-09-13,2015_37
Agriculture,400,50.0,2015-09-13,2015_37
Labor,500,50.0,2015-09-13,2015_37
Education,600,50.0,2015-09-13,2015_37
Environment,700,50.0,2015-09-13,2015_37
Energy,800,50.0,2015-09-13,2015_37
Transportation,1000,50.0,2015-09-13,2015_37
Law and Crime,1200,50.0,2015-09-13,2015_37
Social Welfare,1300,50.0,2015-09-13,2015_37
Housing,1400,50.0,2015-09-13,2015_37
Domestic Commerce,1500,50.0,2015-09-13,2015_37
Defense,1600,50.0,2015-09-13,2015_37
Technology,1700,50.0,2015-09-13,2015_37
International Affairs,1900,50.0,2015-09-13,2015_37
Government Operations,2000,50.0,2015-09-13,2015_37
Public Lands,2100,50.0,2015-09-13,2015_37
Macroeconomics,100,50.0,2015-09-20,2015_38
Civil Rights,200,50.0,2015-09-20,2015_38
Health,300,50.0,2015-09-20,2015_38
Agriculture,400,50.0,2015-09-20,2015_38
Labor,500,50.0,2015-09-20,2015_38
Education,600,50.0,2015-09-20,2015_38
Environment,700,50.0,2015-09-20,2015_38
Energy,800,50.0,2015-09-20,2015_38
Transportation,1000,50.0,2015-09-20,2015_38
Law and Crime,1200,50.0,2015-09-20,2015_38
Social Welfare,1300,50.0,2015-09-20,2015_38
Housing,1400,50.0,2015-09-20,2015_38
Domestic Commerce,1500,50.0,2015-09-20,2015_38
Defense,1600,50.0,2015-09-20,2015_38
Technology,1700,50.0,2015-09-20,2015_38
International Affairs,1900,50.0,2015-09-20,2015_38
Government Operations,2000,50.0,2015-09-20,2015_38
Public Lands,2100,50.0,2015-09-20,2015_38
Macroeconomics,100,50.0,2015-09-27,2015_39
Civil Rights,200,50.0,2015-09-27,2015_39
Health,300,50.0,2015-09-27,2015_39
Agriculture,400,50.0,2015-09-27,2015_39
Labor,500,50.0,2015-09-27,2015_39
Education,600,50.0,2015-09-27,2015_39
Environment,700,50.0,2015-09-27,2015_39
Energy,800,50.0,2015-09-27,2015_39
Transportation,1000,50.0,2015-09-27,2015_39
Law and Crime,1200,50.0,2015-09-27,2015_39
Social Welfare,1300,50.0,2015-09-27,2015_39
Housing,1400,50.0,2015-09-27,2015_39
Domestic Commerce,1500,50.0,2015-09-27,2015_39
Defense,1600,50.0,2015-09-27,2015_39
Technology,1700,50.0,2015-09-27,2015_39
International Affairs,1900,50.0,2015-09-27,2015_39
Government Operations,2000,50.0,2015-09-27,2015_39
Public Lands,2100,50.0,2015-09-27,2015_39
Macroeconomics,100,50.0,2015-10-04,2015_40
Civil Rights,200,50.0,2015-10-04,2015_40
Health,300,50.0,2015-10-04,2015_40
Agriculture,400,50.0,2015-10-04,2015_40
Labor,500,50.0,2015-10-04,2015_40
Education,600,50.0,2015-10-04,2015_40
Environment,700,50.0,2015-10-04,2015_40
Energy,800,50.0,2015-10-04,2015_40
Transportation,1000,50.0,2015-10-04,2015_40
Law and Crime,1200,50.0,2015-10-04,2015_40
Social Welfare,1300,50.0,2015-10-04,2015_40
Housing,1400,50.0,2015-10-04,2015_40
Domestic Commerce,1500,50.0,2015-10-04,2015_40
Defense,1600,50.0,2015-10-04,2015_40
Technology,1700,50.0,2015-10-04,2015_40
International Affairs,1900,50.0,2015-10-04,2015_40
Government Operations,2000,50.0,2015-10-04,2015_40
Public Lands,2100,50.0,2015-10-04,2015_40
Macroeconomics,100,50.0,2015-10-11,2015_41
Civil Rights,200,50.0,2015-10-11,2015_41
Health,300,50.0,2015-10-11,2015_41
Agriculture,400,50.0,2015-10-11,2015_41
Labor,500,50.0,2015-10-11,2015_41
Education,600,50.0,2015-10-11,2015_41
Environment,700,50.0,2015-10-11,2015_41
Energy,800,50.0,2015-10-11,2015_41
Transportation,1000,50.0,2015-10-11,2015_41
Law and Crime,1200,50.0,2015-10-11,2015_41
Social Welfare,1300,50.0,2015-10-11,2015_41
Housing,1400,50.0,2015-10-11,2015_41
Domestic Commerce,1500,50.0,2015-10-11,2015_41
Defense,1600,50.0,2015-10-11,2015_41
Technology,1700,50.0,2015-10-11,2015_41
International Affairs,1900,50.0,2015-10-11,2015_41
Government Operations,2000,50.0,2015-10-11,2015_41
Public Lands,2100,50.0,2015-10-11,2015_41
Macroeconomics,100,50.0,2015-10-18,2015_42
Civil Rights,200,50.0,2015-10-18,2015_42
Health,300,50.0,2015-10-18,2015_42
Agriculture,400,50.0,2015-10-18,2015_42
Labor,500,50.0,2015-10-18,2015_42
Education,600,50.0,2015-10-18,2015_42
Environment,700,50.0,2015-10-18,2015_42
Energy,800,50.0,2015-10-18,2015_42
Transportation,1000,50.0,2015-10-18,2015_42
Law and Crime,1200,50.0,2015-10-18,2015_42
Social Welfare,1300,50.0,2015-10-18,2015_42
Housing,1400,50.0,2015-10-18,2015_42
Domestic Commerce,1500,50.0,2015-10-18,2015_42
Defense,1600,50.0,2015-10-18,2015_42
Technology,1700,50.0,2015-10-18,2015_42
International Affairs,1900,50.0,2015-10-18,2015_42
Government Operations,2000,50.0,2015-10-18,2015_42
Public Lands,2100,50.0,2015-10-18,2015_42
Macroeconomics,100,50.0,2015-10-25,2015_43
Civil Rights,200,50.0,2015-10-25,2015_43
Health,300,50.0,2015-10-25,2015_43
Agriculture,400,50.0,2015-10-25,2015_43
Labor,500,50.0,2015-10-25,2015_43
Education,600,50.0,2015-10-25,2015_43
Environment,700,50.0,2015-10-25,2015_43
Energy,800,50.0,2015-10-25,2015_43
Transportation,1000,50.0,2015-10-25,2015_43
Law and Crime,1200,50.0,2015-10-25,2015_43
Social Welfare,1300,50.0,2015-10-25,2015_43
Housing,1400,50.0,2015-10-25,2015_43
Domestic Commerce,1500,50.0,2015-10-25,2015_43
Defense,1600,50.0,2015-10-25,2015_43
Technology,1700,50.0,2015-10-25,2015_43
International Affairs,1900,50.0,2015-10-25,2015_43
Government Operations,2000,50.0,2015-10-25,2015_43
Public Lands,2100,50.0,2015-10-25,2015_43
Macroeconomics,100,50.0,2015-11-01,2015_44
Civil Rights,200,50.0,2015-11-01,2015_44
Health,300,50.0,2015-11-01,2015_44
Agriculture,400,50.0,2015-11-01,2015_44
Labor,500,50.0,2015-11-01,2015_44
Education,600,50.0,2015-11-01,2015_44
Environment,700,50.0,2015-11-01,2015_44
Energy,800,50.0,2015-11-01,2015_44
Transportation,1000,50.0,2015-11-01,2015_44
Law and Crime,1200,50.0,2015-11-01,2015_44
Social Welfare,1300,50.0,2015-11-01,2015_44
Housing,1400,50.0,2015-11-01,2015_44
Domestic Commerce,1500,50.0,2015-11-01,2015_44
Defense,1600,50.0,2015-11-01,2015_44
Technology,1700,50.0,2015-11-01,2015_44
International Affairs,1900,50.0,2015-11-01,2015_44
Government Operations,2000,50.0,2015-11-01,2015_44
Public Lands,2100,50.0,2015-11-01,2015_44
Macroeconomics,100,50.0,2015-11-08,2015_45
Civil Rights,200,50.0,2015-11-08,2015_45
Health,300,50.0,2015-11-08,2015_45
Agriculture,400,50.0,2015-11-08,2015_45
Labor,500,50.0,2015-11-08,2015_45
Education,600,50.0,2015-11-08,2015_45
Environment,700,50.0,2015-11-08,2015_45
Energy,800,50.0,2015-11-08,2015_45
Transportation,1000,50.0,2015-11-08,2015_45
Law and Crime,1200,50.0,2015-11-08,2015_45
Social Welfare,1300,50.0,2015-11-08,2015_45
Housing,1400,50.0,2015-11-08,2015_45
Domestic Commerce,1500,50.0,2015-11-08,2015_45
Defense,1600,50.0,2015-11-08,2015_45
Technology,1700,50.0,2015-11-08,2015_45
International Affairs,1900,50.0,2015-11-08,2015_45
Government Operations,2000,50.0,2015-11-08,2015_45
Public Lands,2100,50.0,2015-11-08,2015_45
Macroeconomics,100,50.0,2015-11-15,2015_46
Civil Rights,200,50.0,2015-11-15,2015_46
Health,300,50.0,2015-11-15,2015_46
Agriculture,400,50.0,2015-11-15,2015_46
Labor,500,50.0,2015-11-15,2015_46
Education,600,50.0,2015-11-15,2015_46
Environment,700,50.0,2015-11-15,2015_46
Energy,800,50.0,2015-11-15,2015_46
Transportation,1000,50.0,2015-11-15,2015_46
Law and Crime,1200,50.0,2015-11-15,2015_46
Social Welfare,1300,50.0,2015-11-15,2015_46
Housing,1400,50.0,2015-11-15,2015_46
Domestic Commerce,1500,50.0,2015-11-15,2015_46
Defense,1600,50.0,2015-11-15,2015_46
Technology,1700,50.0,2015-11-15,2015_46
International Affairs,1900,50.0,2015-11-15,2015_46
Government Operations,2000,50.0,2015-11-15,2015_46
Public Lands,2100,50.0,2015-11-15,2015_46
Macroeconomics,100,50.0,2015-11-22,2015_47
Civil Rights,200,50.0,2015-11-22,2015_47
Health,300,50.0,2015-11-22,2015_47
Agriculture,400,50.0,2015-11-22,2015_47
Labor,500,50.0,2015-11-22,2015_47
Education,600,50.0,2015-11-22,2015_47
Environment,700,50.0,2015-11-22,2015_47
Energy,800,50.0,2015-11-22,2015_47
Transportation,1000,50.0,2015-11-22,2015_47
Law and Crime,1200,50.0,2015-11-22,2015_47
Social Welfare,1300,50.0,2015-11-22,2015_47
Housing,1400,50.0,2015-11-22,2015_47
Domestic Commerce,1500,50.0,2015-11-22,2015_47
Defense,1600,50.0,2015-11-22,2015_47
Technology,1700,50.0,2015-11-22,2015_47
International Affairs,1900,50.0,2015-11-22,2015_47
Government Operations,2000,50.0,2015-11-22,2015_47
Public Lands,2100,50.0,2015-11-22,2015_47
Macroeconomics,100,50.0,2015-11-29,2015_48
Civil Rights,200,50.0,2015-11-29,2015_48
Health,300,50.0,2015-11-29,2015_48
Agriculture,400,50.0,2015-11-29,2015_48
Labor,500,50.0,2015-11-29,2015_48
Education,600,50.0,2015-11-29,2015_48
Environment,700,50.0,2015-11-29,2015_48
Energy,800,50.0,2015-11-29,2015_48
Transportation,1000,50.0,2015-11-29,2015_48
Law and Crime,1200,50.0,2015-11-29,2015_48
Social Welfare,1300,50.0,2015-11-29,2015_48
Housing,1400,50.0,2015-11-29,2015_48
Domestic Commerce,1500,50.0,2015-11-29,2015_48
Defense,1600,50.0,2015-11-29,2015_48
Technology,1700,50.0,2015-11-29,2015_48
International Affairs,1900,50.0,2015-11-29,2015_48
Government Operations,2000,50.0,2015-11-29,2015_48
Public Lands,2100,50.0,2015-11-29,2015_48
Macroeconomics,100,50.0,2015-12-06,2015_49
Civil Rights,200,50.0,2015-12-06,2015_49
Health,300,50.0,2015-12-06,2015_49
Agriculture,400,50.0,2015-12-06,2015_49
Labor,500,50.0,2015-12-06,2015_49
Education,600,50.0,2015-12-06,2015_49
Environment,700,50.0,2015-12-06,2015_49
Energy,800,50.0,2015-12-06,2015_49
Transportation,1000,50.0,2015-12-06,2015_49
Law and Crime,1200,50.0,2015-12-06,2015_49
Social Welfare,1300,50.0,2015-12-06,2015_49
Housing,1400,50.0,2015-12-06,2015_49
Domestic Commerce,1500,50.0,2015-12-06,2015_49
Defense,1600,50.0,2015-12-06,2015_49
Technology,1700,50.0,2015-12-06,2015_49
International Affairs,1900,50.0,2015-12-06,2015_49
Government Operations,2000,50.0,2015-12-06,2015_49
Public Lands,2100,50.0,2015-12-06,2015_49
Macroeconomics,100,50.0,2015-12-13,2015_50
Civil Rights,200,50.0,2015-12-13,2015_50
Health,300,50.0,2015-12-13,2015_50
Agriculture,400,50.0,2015-12-13,2015_50
Labor,500,50.0,2015-12-13,2015_50
Education,600,50.0,2015-12-13,2015_50
Environment,700,50.0,2015-12-13,2015_50
Energy,800,50.0,2015-12-13,2015_50
Transportation,1000,50.0,2015-12-13,2015_50
Law and Crime,1200,50.0,2015-12-13,2015_50
Social Welfare,1300,50.0,2015-12-13,2015_50
Housing,1400,50.0,2015-12-13,2015_50
Domestic Commerce,1500,50.0,2015-12-13,2015_50
Defense,1600,50.0,2015-12-13,2015_50
Technology,1700,50.0,2015-12-13,2015_50
International Affairs,1900,50.0,2015-12-13,2015_50
Government Operations,2000,50.0,2015-12-13,2015_50
Public Lands,2100,50.0,2015-12-13,2015_50
Macroeconomics,100,50.0,2015-12-20,2015_51
Civil Rights,200,50.0,2015-12-20,2015_51
Health,300,50.0,2015-12-20,2015_51
Agriculture,400,50.0,2015-12-20,2015_51
Labor,500,50.0,2015-12-20,2015_51
Education,600,50.0,2015-12-20,2015_51
Environment,700,50.0,2015-12-20,2015_51
Energy,800,50.0,2015-12-20,2015_51
Transportation,1000,50.0,2015-12-20,2015_51
Law and Crime,1200,50.0,2015-12-20,2015_51
Social Welfare,1300,50.0,2015-12-20,2015_51
Housing,1400,50.0,2015-12-20,2015_51
Domestic Commerce,1500,50.0,2015-12-20,2015_51
Defense,1600,50.0,2015-12-20,2015_51
Technology,1700,50.0,2015-12-20,2015_51
International Affairs,1900,50.0,2015-12-20,2015_51
Government Operations,2000,50.0,2015-12-20,2015_51
Public Lands,2100,50.0,2015-12-20,2015_51
Macroeconomics,100,50.0,2015-12-27,2015_52
Civil Rights,200,50.0,2015-12-27,2015_52
Health,300,50.0,2015-12-27,2015_52
Agriculture,400,50.0,2015-12-27,2015_52
Labor,500,50.0,2015-12-27,2015_52
Education,600,50.0,2015-12-27,2015_52
Environment,700,50.0,2015-12-27,2015_52
Energy,800,50.0,2015-12-27,2015_52
Transportation,1000,50.0,2015-12-27,2015_52
Law and Crime,1200,50.0,2015-12-27,2015_52
Social Welfare,1300,50.0,2015-12-27,2015_52
Housing,1400,50.0,2015-12-27,2015_52
Domestic Commerce,1500,50.0,2015-12-27,2015_52
Defense,1600,50.0,2015-12-27,2015_52
Technology,1700,50.0,2015-12-27,2015_52
International Affairs,1900,50.0,2015-12-27,2015_52
Government Operations,2000,50.0,2015-12-27,2015_52
Public Lands,2100,50.0,2015-12-27,2015_52
Macroeconomics,100,50.0,2016-01-03,2016_53
Civil Rights,200,50.0,2016-01-03,2016_53
Health,300,50.0,2016-01-03,2016_53
Agriculture,400,50.0,2016-01-03,2016_53
Labor,500,50.0,2016-01-03,2016_53
Education,600,50.0,2016-01-03,2016_53
Environment,700,50.0,2016-01-03,2016_53
Energy,800,50.0,2016-01-03,2016_53
Transportation,1000,50.0,2016-01-03,2016_53
Law and Crime,1200,50.0,2016-01-03,2016_53
Social Welfare,1300,50.0,2016-01-03,2016_53
Housing,1400,50.0,2016-01-03,2016_53
Domestic Commerce,1500,50.0,2016-01-03,2016_53
Defense,1600,50.0,2016-01-03,2016_53
Technology,1700,50.0,2016-01-03,2016_53
International Affairs,1900,50.0,2016-01-03,2016_53
Government Operations,2000,50.0,2016-01-03,2016_53
Public Lands,2100,50.0,2016-01-03,2016_53
Macroeconomics,100,50.0,2016-01-10,2016_1
Civil Rights,200,50.0,2016-01-10,2016_1
Health,300,50.0,2016-01-10,2016_1
Agriculture,400,50.0,2016-01-10,2016_1
Labor,500,50.0,2016-01-10,2016_1
Education,600,50.0,2016-01-10,2016_1
Environment,700,50.0,2016-01-10,2016_1
Energy,800,50.0,2016-01-10,2016_1
Transportation,1000,50.0,2016-01-10,2016_1
Law and Crime,1200,50.0,2016-01-10,2016_1
Social Welfare,1300,50.0,2016-01-10,2016_1
Housing,1400,50.0,2016-01-10,2016_1
Domestic Commerce,1500,50.0,2016-01-10,2016_1
Defense,1600,50.0,2016-01-10,2016_1
Technology,1700,50.0,2016-01-10,2016_1
International Affairs,1900,50.0,2016-01-10,2016_1
Government Operations,2000,50.0,2016-01-10,2016_1
Public Lands,2100,50.0,2016-01-10,2016_1
Macroeconomics,100,50.0,2016-01-17,2016_2
Civil Rights,200,50.0,2016-01-17,2016_2
Health,300,50.0,2016-01-17,2016_2
Agriculture,400,50.0,2016-01-17,2016_2
Labor,500,50.0,2016-01-17,2016_2
Education,600,50.0,2016-01-17,2016_2
Environment,700,50.0,2016-01-17,2016_2
Energy,800,50.0,2016-01-17,2016_2
Transportation,1000,50.0,2016-01-17,2016_2
Law and Crime,1200,50.0,2016-01-17,2016_2
Social Welfare,1300,50.0,2016-01-17,2016_2
Housing,1400,50.0,2016-01-17,2016_2
Domestic Commerce,1500,50.0,2016-01-17,2016_2
Defense,1600,50.0,2016-01-17,2016_2
Technology,1700,50.0,2016-01-17,2016_2
International Affairs,1900,50.0,2016-01-17,2016_2
Government Operations,2000,50.0,2016-01-17,2016_2
Public Lands,2100,50.0,2016-01-17,2016_2
Macroeconomics,100,50.0,2016-01-24,2016_3
Civil Rights,200,50.0,2016-01-24,2016_3
Health,300,50.0,2016-01-24,2016_3
Agriculture,400,50.0,2016-01-24,2016_3
Labor,500,50.0,2016-01-24,2016_3
Education,600,50.0,2016-01-24,2016_3
Environment,700,50.0,2016-01-24,2016_3
Energy,800,50.0,2016-01-24,2016_3
Transportation,1000,50.0,2016-01-24,2016_3
Law and Crime,1200,50.0,2016-01-24,2016_3
Social Welfare,1300,50.0,2016-01-24,2016_3
Housing,1400,50.0,2016-01-24,2016_3
Domestic Commerce,1500,50.0,2016-01-24,2016_3
Defense,1600,50.0,2016-01-24,2016_3
Technology,1700,50.0,2016-01-24,2016_3
International Affairs,1900,50.0,2016-01-24,2016_3
Government Operations,2000,50.0,2016-01-24,2016_3
Public Lands,2100,50.0,2016-01-24,2016_3
Macroeconomics,100,50.0,2016-01-31,2016_4
Civil Rights,200,50.0,2016-01-31,2016_4
Health,300,50.0,2016-01-31,2016_4
Agriculture,400,50.0,2016-01-31,2016_4
Labor,500,50.0,2016-01-31,2016_4
Education,600,50.0,2016-01-31,2016_4
Environment,700,50.0,2016-01-31,2016_4
Energy,800,50.0,2016-01-31,2016_4
Transportation,1000,50.0,2016-01-31,2016_4
Law and Crime,1200,50.0,2016-01-31,2016_4
Social Welfare,1300,50.0,2016-01-31,2016_4
Housing,1400,50.0,2016-01-31,2016_4
Domestic Commerce,1500,50.0,2016-01-31,2016_4
Defense,1600,50.0,2016-01-31,2016_4
Technology,1700,50.0,2016-01-31,2016_4
International Affairs,1900,50.0,2016-01-31,2016_4
Government Operations,2000,50.0,2016-01-31,2016_4
Public Lands,2100,50.0,2016-01-31,2016_4
Macroeconomics,100,50.0,2016-02-07,2016_5
Civil Rights,200,50.0,2016-02-07,2016_5
Health,300,50.0,2016-02-07,2016_5
Agriculture,400,50.0,2016-02-07,2016_5
Labor,500,50.0,2016-02-07,2016_5
Education,600,50.0,2016-02-07,2016_5
Environment,700,50.0,2016-02-07,2016_5
Energy,800,50.0,2016-02-07,2016_5
Transportation,1000,50.0,2016-02-07,2016_5
Law and Crime,1200,50.0,2016-02-07,2016_5
Social Welfare,1300,50.0,2016-02-07,2016_5
Housing,1400,50.0,2016-02-07,2016_5
Domestic Commerce,1500,50.0,2016-02-07,2016_5
Defense,1600,50.0,2016-02-07,2016_5
Technology,1700,50.0,2016-02-07,2016_5
International Affairs,1900,50.0,2016-02-07,2016_5
Government Operations,2000,50.0,2016-02-07,2016_5
Public Lands,2100,50.0,2016-02-07,2016_5
Macroeconomics,100,50.0,2016-02-14,2016_6
Civil Rights,200,50.0,2016-02-14,2016_6
Health,300,50.0,2016-02-14,2016_6
Agriculture,400,50.0,2016-02-14,2016_6
Labor,500,50.0,2016-02-14,2016_6
Education,600,50.0,2016-02-14,2016_6
Environment,700,50.0,2016-02-14,2016_6
Energy,800,50.0,2016-02-14,2016_6
Transportation,1000,50.0,2016-02-14,2016_6
Law and Crime,1200,50.0,2016-02-14,2016_6
Social Welfare,1300,50.0,2016-02-14,2016_6
Housing,1400,50.0,2016-02-14,2016_6
Domestic Commerce,1500,50.0,2016-02-14,2016_6
Defense,1600,50.0,2016-02-14,2016_6
Technology,1700,50.0,2016-02-14,2016_6
International Affairs,1900,50.0,2016-02-14,2016_6
Government Operations,2000,50.0,2016-02-14,2016_6
Public Lands,2100,50.0,2016-02-14,2016_6
Macroeconomics,100,50.0,2016-02-21,2016_7
Civil Rights,200,50.0,2016-02-21,2016_7
Health,300,50.0,2016-02-21,2016_7
Agriculture,400,50.0,2016-02-21,2016_7
Labor,500,50.0,2016-02-21,2016_7
Education,600,50.0,2016-02-21,2016_7
Environment,700,50.0,2016-02-21,2016_7
Energy,800,50.0,2016-02-21,2016_7
Transportation,1000,50.0,2016-02-21,2016_7
Law and Crime,1200,50.0,2016-02-21,2016_7
Social Welfare,1300,50.0,2016-02-21,2016_7
Housing,1400,50.0,2016-02-21,2016_7
Domestic Commerce,1500,50.0,2016-02-21,2016_7
Defense,1600,50.0,2016-02-21,2016_7
Technology,1700,50.0,2016-02-21,2016_7
International Affairs,1900,50.0,2016-02-21,2016_7
Government Operations,2000,50.0,2016-02-21,2016_7
Public Lands,2100,50.0,2016-02-21,2016_7
Macroeconomics,100,50.0,2016-02-28,2016_8
Civil Rights,200,50.0,2016-02-28,2016_8
Health,300,50.0,2016-02-28,2016_8
Agriculture,400,50.0,2016-02-28,2016_8
Labor,500,50.0,2016-02-28,2016_8
Education,600,50.0,2016-02-28,2016_8
Environment,700,50.0,2016-02-28,2016_8
Energy,800,50.0,2016-02-28,2016_8
Transportation,1000,50.0,2016-02-28,2016_8
Law and Crime,1200,50.0,2016-02-28,2016_8
Social Welfare,1300,50.0,2016-02-28,2016_8
Housing,1400,50.0,2016-02-28,2016_8
Domestic Commerce,1500,50.0,2016-02-28,2016_8
Defense,1600,50.0,2016-02-28,2016_8
Technology,1700,50.0,2016-02-28,2016_8
International Affairs,1900,50.0,2016-02-28,2016_8
Government Operations,2000,50.0,2016-02-28,2016_8
Public Lands,2100,50.0,2016-02-28,2016_8
Macroeconomics,100,50.0,2016-03-06,2016_9
Civil Rights,200,50.0,2016-03-06,2016_9
Health,300,50.0,2016-03-06,2016_9
Agriculture,400,50.0,2016-03-06,2016_9
Labor,500,50.0,2016-03-06,2016_9
Education,600,50.0,2016-03-06,2016_9
Environment,700,50.0,2016-03-06,2016_9
Energy,800,50.0,2016-03-06,2016_9
Transportation,1000,50.0,2016-03-06,2016_9
Law and Crime,1200,50.0,2016-03-06,2016_9
Social Welfare,1300,50.0,2016-03-06,2016_9
Housing,1400,50.0,2016-03-06,2016_9
Domestic Commerce,1500,50.0,2016-03-06,2016_9
Defense,1600,50.0,2016-03-06,2016_9
Technology,1700,50.0,2016-03-06,2016_9
International Affairs,1900,50.0,2016-03-06,2016_9
Government Operations,2000,50.0,2016-03-06,2016_9
Public Lands,2100,50.0,2016-03-06,2016_9
Macroeconomics,100,50.0,2016-03-13,2016_10
Civil Rights,200,50.0,2016-03-13,2016_10
Health,300,50.0,2016-03-13,2016_10
Agriculture,400,50.0,2016-03-13,2016_10
Labor,500,50.0,2016-03-13,2016_10
Education,600,50.0,2016-03-13,2016_10
Environment,700,50.0,2016-03-13,2016_10
Energy,800,50.0,2016-03-13,2016_10
Transportation,1000,50.0,2016-03-13,2016_10
Law and Crime,1200,50.0,2016-03-13,2016_10
Social Welfare,1300,50.0,2016-03-13,2016_10
Housing,1400,50.0,2016-03-13,2016_10
Domestic Commerce,1500,50.0,2016-03-13,2016_10
Defense,1600,50.0,2016-03-13,2016_10
Technology,1700,50.0,2016-03-13,2016_10
International Affairs,1900,50.0,2016-03-13,2016_10
Government Operations,2000,50.0,2016-03-13,2016_10
Public Lands,2100,50.0,2016-03-13,2016_10
Macroeconomics,100,50.0,2016-03-20,2016_11
Civil Rights,200,50.0,2016-03-20,2016_11
Health,300,50.0,2016-03-20,2016_11
Agriculture,400,50.0,2016-03-20,2016_11
Labor,500,50.0,2016-03-20,2016_11
Education,600,50.0,2016-03-20,2016_11
Environment,700,50.0,2016-03-20,2016_11
Energy,800,50.0,2016-03-20,2016_11
Transportation,1000,50.0,2016-03-20,2016_11
Law and Crime,1200,50.0,2016-03-20,2016_11
Social Welfare,1300,50.0,2016-03-20,2016_11
Housing,1400,50.0,2016-03-20,2016_11
Domestic Commerce,1500,50.0,2016-03-20,2016_11
Defense,1600,50.0,2016-03-20,2016_11
Technology,1700,50.0,2016-03-20,2016_11
International Affairs,1900,50.0,2016-03-20,2016_11
Government Operations,2000,50.0,2016-03-20,2016_11
Public Lands,2100,50.0,2016-03-20,2016_11
Macroeconomics,100,50.0,2016-03-27,2016_12
Civil Rights,200,50.0,2016-03-27,2016_12
Health,300,50.0,2016-03-27,2016_12
Agriculture,400,50.0,2016-03-27,2016_12
Labor,500,50.0,2016-03-27,2016_12
Education,600,50.0,2016-03-27,2016_12
Environment,700,50.0,2016-03-27,2016_12
Energy,800,50.0,2016-03-27,2016_12
Transportation,1000,50.0,2016-03-27,2016_12
Law and Crime,1200,50.0,2016-03-27,2016_12
Social Welfare,1300,50.0,2016-03-27,2016_12
Housing,1400,50.0,2016-03-27,2016_12
Domestic Commerce,1500,50.0,2016-03-27,2016_12
Defense,1600,50.0,2016-03-27,2016_12
