bioguide_id,committee_name,policy_area
B001295,Select Committee on Energy Independence and Global Warming,
B001295,Committee on Rules,Government Operations
B001295,Committee on Environment and Public Works,Environment
B001295,Committee on Public Works,
B001296,Committee on Rules,Government Operations
B001296,Committee on Energy and Commerce,Energy
B001296,Committee on Ways and Means,Macroeconomics
B001296,Committee on Education and the Workforce,Education
B001296,Committee on Homeland Security,Defense
B001296,Permanent Select Committee on Intelligence,Defense
B001296,Committee on Appropriations,Macroeconomics
B001296,Committee on Foreign Affairs,International Affairs
B001296,Committee on Oversight and Government Reform,Government Operations
B001296,Committee on the Budget,Macroeconomics
B001296,Committee on House Administration,Government Operations
B001296,Committee on Finance,Macroeconomics
B001296,Committee on Financial Services,Domestic Commerce
B001296,Committee on Homeland Security and Governmental Affairs,Government Operations
B001296,Committee on Foreign Relations,International Affairs
B001296,Committee on the Judiciary,Law and Crime
B001296,Select Committee on Energy Independence and Global Warming,
B001296,Committee on Armed Services,Defense
B001296,Committee on Natural Resources,Public Lands
B001296,Committee on Transportation and Infrastructure,Transportation
B001296,Committee on Agriculture,Agriculture
B001296,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
B001296,"Committee on Commerce, Science, and Transportation",Domestic Commerce
B001296,Committee on Education,Education
B001296,Select Committee on Intelligence,Defense
B001296,House Permanent Select Committee on Intelligence,Defense
B001296,Committee on Small Business,Domestic Commerce
B001297,Committee on Appropriations,Macroeconomics
B001297,Committee on Education and the Workforce,Education
B001297,Committee on the Judiciary,Law and Crime
B001297,Committee on Education and Labor,Education
B001297,Committee on Rules,Government Operations
B001297,Committee on Foreign Affairs,International Affairs
B001297,Committee on Ways and Means,Macroeconomics
B001297,"Committee on Science, Space, and Technology",Technology
B001297,Committee on Finance,Macroeconomics
B001297,Committee on Energy and Commerce,Energy
B001297,Select Committee on Assassinations,
B001297,Committee on Armed Services,Defense
B001297,Committee on Natural Resources,Public Lands
B001297,House Permanent Select Committee on Intelligence,Defense
B001297,Select Committee on Intelligence,Defense
B001297,Committee on Oversight and Government Reform,Government Operations
B001297,Committee on Homeland Security and Governmental Affairs,Government Operations
C000059,Committee on Homeland Security,Defense
C000059,Committee on Ways and Means,Macroeconomics
C000059,Committee on the Budget,Macroeconomics
C000059,Committee on Agriculture,Agriculture
C000059,Committee on Armed Services,Defense
C000059,Committee on Education and the Workforce,Education
C000059,Committee on Energy and Commerce,Energy
C000059,Committee on Financial Services,Domestic Commerce
C000059,Committee on the Judiciary,Law and Crime
C000059,Committee on Natural Resources,Public Lands
C000059,Committee on Oversight and Government Reform,Government Operations
C000059,"Committee on Science, Space, and Technology",Technology
C000059,Committee on Transportation and Infrastructure,Transportation
C000059,Committee on Veterans' Affairs,Social Welfare
C000059,Committee on Foreign Affairs,International Affairs
C000059,Committee on House Administration,Government Operations
C000059,Committee on Small Business,Domestic Commerce
C000059,Joint Committee on Taxation,Macroeconomics
C000059,Committee on Appropriations,Macroeconomics
C000059,Committee on Energy and Natural Resources,Energy
C000059,Committee on Education and Labor,Education
C000059,Committee on Ethics,Government Operations
C000059,Committee on Environment and Public Works,Environment
C000059,"Committee on Banking, Housing, and Urban Affairs",Housing
C000059,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C000059,Committee on Commerce,Domestic Commerce
C000059,Committee on Science,Technology
C000059,Committee on Finance,Macroeconomics
C000059,Committee on Public Works,
C000059,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
C000059,House Permanent Select Committee on Intelligence,Defense
C000059,Select Committee on Intelligence,Defense
C000059,Committee on Science and Technology,
C000059,Committee on Homeland Security and Governmental Affairs,Government Operations
C000059,Committee on Rules and Administration,Government Operations
C000059,Committee on Rules,Government Operations
C000059,Joint Committee on the Library,
C000059,Committee on International Relations,
C000059,Committee on Foreign Relations,International Affairs
C000059,"Committee on Health, Education, Labor, and Pensions",Health
C000059,Committee on Government Operations,
C000059,Committee on Indian Affairs,Civil Rights
C000127,Special Committee on Aging,Social Welfare
C000127,"Committee on Health, Education, Labor, and Pensions",Health
C000127,Committee on Energy and Commerce,Energy
C000127,Committee on Energy and Natural Resources,Energy
C000127,Committee on Environment and Public Works,Environment
C000127,Select Committee on Intelligence,Defense
C000127,Committee on Homeland Security and Governmental Affairs,Government Operations
C000127,Committee on Appropriations,Macroeconomics
C000127,Committee on the Budget,Macroeconomics
C000127,Joint Committee on Taxation,Macroeconomics
C000127,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C000127,Committee on Finance,Macroeconomics
C000127,Committee on the Judiciary,Law and Crime
C000127,"Committee on Banking, Housing, and Urban Affairs",Housing
C000127,Committee on Financial Services,Domestic Commerce
C000127,Committee on Armed Services,Defense
C000127,Committee on Foreign Relations,International Affairs
C000127,Committee on Foreign Affairs,International Affairs
C000127,Committee on Veterans' Affairs,Social Welfare
C000127,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
C000127,Committee on Small Business and Entrepreneurship,Domestic Commerce
C000127,Committee on Small Business,Domestic Commerce
C000127,Committee on Indian Affairs,Civil Rights
C000127,Committee on Natural Resources,Public Lands
C000127,Committee on Transportation and Infrastructure,Transportation
C000127,Committee on Education and the Workforce,Education
C000127,Committee on Agriculture,Agriculture
C000127,Committee on Homeland Security,Defense
C000127,Committee on Interior and Insular Affairs,
C000127,"Committee on Science, Space, and Technology",Technology
C000141,Select Committee on Intelligence,Defense
C000141,"Committee on Health, Education, Labor, and Pensions",Health
C000141,Special Committee on Aging,Social Welfare
C000141,Committee on Energy and Commerce,Energy
C000141,Committee on Energy and Natural Resources,Energy
C000141,Committee on the Judiciary,Law and Crime
C000141,Committee on Finance,Macroeconomics
C000141,Joint Committee on Taxation,Macroeconomics
C000141,"Committee on Banking, Housing, and Urban Affairs",Housing
C000141,Committee on the Budget,Macroeconomics
C000141,Committee on Environment and Public Works,Environment
C000141,Committee on Natural Resources,Public Lands
C000141,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
C000141,Committee on Small Business and Entrepreneurship,Domestic Commerce
C000141,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C000141,Committee on Transportation and Infrastructure,Transportation
C000141,Committee on Veterans' Affairs,Social Welfare
C000141,Committee on Appropriations,Macroeconomics
C000141,Committee on Homeland Security and Governmental Affairs,Government Operations
C000141,Committee on Homeland Security,Defense
C000141,Committee on Armed Services,Defense
C000141,Committee on Foreign Relations,International Affairs
C000141,Committee on Foreign Affairs,International Affairs
C000141,House Permanent Select Committee on Intelligence,Defense
C000141,Committee on Oversight and Government Reform,Government Operations
C000141,Committee on Indian Affairs,Civil Rights
C000141,Joint Select Committee on Deficit Reduction,
C000141,Committee on Commerce,Domestic Commerce
C000141,Committee on Education,Education
C000141,Committee on Ways and Means,Macroeconomics
C000141,Committee on Agriculture,Agriculture
C000141,Committee on Rules and Administration,Government Operations
C000141,Committee on House Administration,Government Operations
C000174,Select Committee on Intelligence,Defense
C000174,Committee on Homeland Security and Governmental Affairs,Government Operations
C000174,Committee on the Budget,Macroeconomics
C000174,Joint Committee on Taxation,Macroeconomics
C000174,"Committee on Health, Education, Labor, and Pensions",Health
C000174,Committee on Finance,Macroeconomics
C000174,Committee on Environment and Public Works,Environment
C000174,Committee on Governmental Affairs,
C000174,Committee on Energy and Natural Resources,Energy
C000174,Committee on Natural Resources,Public Lands
C000174,Committee on the Judiciary,Law and Crime
C000174,Committee on Foreign Relations,International Affairs
C000174,Committee on Appropriations,Macroeconomics
C000174,Committee on Armed Services,Defense
C000174,House Permanent Select Committee on Intelligence,Defense
C000174,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C000174,Committee on Veterans' Affairs,Social Welfare
C000174,Committee on Homeland Security,Defense
C000174,"Committee on Science, Space, and Technology",Technology
C000174,Joint Select Committee on Deficit Reduction,
C000174,Committee on Commerce,Domestic Commerce
C000174,Committee on Foreign Affairs,International Affairs
C000174,Committee on Oversight and Government Reform,Government Operations
C000174,"Committee on Banking, Housing, and Urban Affairs",Housing
C000174,Committee on Energy and Commerce,Energy
C000174,Committee on Small Business and Entrepreneurship,Domestic Commerce
C000174,Committee on Small Business,Domestic Commerce
C000174,Special Committee on Aging,Social Welfare
C000174,Committee on Transportation and Infrastructure,Transportation
C000174,Committee on Education and the Workforce,Education
C000174,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
C000266,Committee on Agriculture,Agriculture
C000266,Committee on Rules,Government Operations
C000266,Committee on the Judiciary,Law and Crime
C000266,Committee on Ways and Means,Macroeconomics
C000266,Committee on Appropriations,Macroeconomics
C000266,Committee on Small Business,Domestic Commerce
C000266,Committee on Homeland Security,Defense
C000266,Committee on Armed Services,Defense
C000266,Committee on Energy and Commerce,Energy
C000266,Committee on Natural Resources,Public Lands
C000266,Committee on Transportation and Infrastructure,Transportation
C000266,Committee on Commerce,Domestic Commerce
C000266,Committee on Science,Technology
C000266,Ad Hoc Committee on Energy,
C000266,"Committee on Health, Education, Labor, and Pensions",Health
C000266,Committee on Small Business and Entrepreneurship,Domestic Commerce
C000266,Select Committee on Intelligence,Defense
C000266,Committee on Foreign Affairs,International Affairs
C000266,House Permanent Select Committee on Intelligence,Defense
C000266,Committee on Foreign Relations,International Affairs
C000266,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C000266,Committee on Energy and Natural Resources,Energy
C000266,Committee on Oversight and Government Reform,Government Operations
C000266,Committee on Homeland Security and Governmental Affairs,Government Operations
C000266,Committee on the Budget,Macroeconomics
C000266,Committee on Financial Services,Domestic Commerce
C000266,Committee on Education and the Workforce,Education
C000266,Committee on Environment and Public Works,Environment
C000266,"Committee on Science, Space, and Technology",Technology
C000266,Committee on Veterans' Affairs,Social Welfare
C000266,Committee on Finance,Macroeconomics
C000537,Joint Committee on Taxation,Macroeconomics
C000537,Committee on the Budget,Macroeconomics
C000537,Joint Committee on Internal Revenue Taxation,
C000537,Committee on Rules,Government Operations
C000537,Committee on Energy and Commerce,Energy
C000537,Committee on Financial Services,Domestic Commerce
C000537,"Committee on Science, Space, and Technology",Technology
C000537,Committee on Ways and Means,Macroeconomics
C000537,Committee on the Judiciary,Law and Crime
C000537,Committee on Appropriations,Macroeconomics
C000537,Committee on Oversight and Government Reform,Government Operations
C000537,Permanent Select Committee on Intelligence,Defense
C000537,Committee on Agriculture,Agriculture
C000537,Committee on Armed Services,Defense
C000537,Committee on Foreign Affairs,International Affairs
C000537,Committee on Transportation and Infrastructure,Transportation
C000537,Committee on House Administration,Government Operations
C000537,Committee on Standards of Official Conduct,Government Operations
C000537,Committee on Ethics,Government Operations
C000537,Committee on Natural Resources,Public Lands
C000537,Committee on Veterans' Affairs,Social Welfare
C000537,House Permanent Select Committee on Intelligence,Defense
C000537,Committee on Education and the Workforce,Education
C000537,Committee on Homeland Security,Defense
C000537,Select Committee on Intelligence,Defense
C000537,Committee on Homeland Security and Governmental Affairs,Government Operations
C000542,Special Committee on Aging,Social Welfare
C000542,"Committee on Health, Education, Labor, and Pensions",Health
C000542,Committee on Energy and Commerce,Energy
C000542,Committee on Energy and Natural Resources,Energy
C000542,Joint Select Committee on Deficit Reduction,
C000542,Committee on Appropriations,Macroeconomics
C000542,Joint Committee on Taxation,Macroeconomics
C000542,Committee on the Judiciary,Law and Crime
C000542,Committee on the Budget,Macroeconomics
C000542,Committee on Veterans' Affairs,Social Welfare
C000542,Committee on Armed Services,Defense
C000542,Committee on Finance,Macroeconomics
C000542,Committee on Ways and Means,Macroeconomics
C000542,Select Committee on Intelligence,Defense
C000542,House Permanent Select Committee on Intelligence,Defense
C000542,Committee on Natural Resources,Public Lands
C000542,Committee on Foreign Relations,International Affairs
C000542,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C000542,Committee on Homeland Security and Governmental Affairs,Government Operations
C000542,Committee on Homeland Security,Defense
C000542,Committee on Education,Education
C000542,Committee on Agriculture,Agriculture
C000542,Committee on Commerce,Domestic Commerce
C000542,Committee on Indian Affairs,Civil Rights
C000542,Committee on Small Business and Entrepreneurship,Domestic Commerce
C000542,Committee on Environment and Public Works,Environment
C000542,Committee on Education and the Workforce,Education
C000542,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
C000567,Committee on Appropriations,Macroeconomics
C000567,Committee on the Budget,Macroeconomics
C000567,Joint Committee on Taxation,Macroeconomics
C000567,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C000567,Special Committee on Aging,Social Welfare
C000567,"Committee on Health, Education, Labor, and Pensions",Health
C000567,Committee on Finance,Macroeconomics
C000567,Committee on Education and the Workforce,Education
C000567,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
C000567,Committee on Foreign Relations,International Affairs
C000567,Committee on Education,Education
C000567,Committee on Homeland Security and Governmental Affairs,Government Operations
C000567,Committee on Agriculture,Agriculture
C000567,Committee on Government Operations,
C000567,Committee on the Judiciary,Law and Crime
C000567,Committee on Veterans' Affairs,Social Welfare
C000714,Committee on the Judiciary,Law and Crime
C000714,Committee on Homeland Security,Defense
C000714,Committee on Homeland Security and Governmental Affairs,Government Operations
C000714,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C000714,Committee on Transportation and Infrastructure,Transportation
C000714,Committee on Appropriations,Macroeconomics
C000714,Committee on Rules,Government Operations
C000714,Committee on Ways and Means,Macroeconomics
C000714,Committee on Oversight and Government Reform,Government Operations
C000714,Committee on Oversight,Government Operations
C000714,Committee on the Budget,Macroeconomics
C000714,Committee on Financial Services,Domestic Commerce
C000714,Committee on Small Business,Domestic Commerce
C000714,Committee on Agriculture,Agriculture
C000714,Committee on Armed Services,Defense
C000714,Committee on Education and the Workforce,Education
C000714,Committee on Energy and Commerce,Energy
C000714,Committee on Natural Resources,Public Lands
C000714,"Committee on Science, Space, and Technology",Technology
C000714,Committee on Veterans' Affairs,Social Welfare
C000714,Committee on Foreign Affairs,International Affairs
C000714,Committee on House Administration,Government Operations
C000714,Joint Committee on Taxation,Macroeconomics
C000714,Select Committee on Intelligence,Defense
C000714,House Permanent Select Committee on Intelligence,Defense
C000714,Permanent Select Committee on Intelligence,Defense
C000714,Select Committee on Assassinations,
C000714,Committee on Standards of Official Conduct,Government Operations
C000714,Committee on Foreign Relations,International Affairs
C000714,Committee on Energy and Natural Resources,Energy
C000714,Ad Hoc Committee on Energy,
C000714,Committee on Commerce,Domestic Commerce
C000714,Committee on Science,Technology
C000714,Committee on International Relations,
C000714,Committee on Ethics,Government Operations
C000714,"Committee on Health, Education, Labor, and Pensions",Health
C000714,Committee on Small Business and Entrepreneurship,Domestic Commerce
C000714,Committee on Finance,Macroeconomics
C000754,Committee on Armed Services,Defense
C000754,Committee on Foreign Relations,International Affairs
C000754,Committee on Foreign Affairs,International Affairs
C000754,Committee on Homeland Security,Defense
C000754,Committee on the Judiciary,Law and Crime
C000754,Committee on Veterans' Affairs,Social Welfare
C000754,Committee on Appropriations,Macroeconomics
C000754,Committee on Transportation and Infrastructure,Transportation
C000754,Committee on Ways and Means,Macroeconomics
C000754,Committee on Government Operations,
C000754,Committee on Oversight and Government Reform,Government Operations
C000754,House Permanent Select Committee on Intelligence,Defense
C000754,Select Committee on Intelligence,Defense
C000754,"Committee on Science, Space, and Technology",Technology
C000754,Committee on Small Business,Domestic Commerce
C000754,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C000754,Committee on Energy and Commerce,Energy
C000754,Committee on Agriculture,Agriculture
C000754,"Committee on Health, Education, Labor, and Pensions",Health
C000754,Committee on Homeland Security and Governmental Affairs,Government Operations
C000754,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
C000754,Committee on Commerce,Domestic Commerce
C000754,Committee on Science,Technology
C000754,Committee on Small Business and Entrepreneurship,Domestic Commerce
C000754,Committee on Energy and Natural Resources,Energy
C000754,Committee on Natural Resources,Public Lands
C000754,Committee on Rules,Government Operations
C000880,Committee on Finance,Macroeconomics
C000880,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C000880,Committee on Energy and Commerce,Energy
C000880,Committee on Environment and Public Works,Environment
C000880,Committee on the Budget,Macroeconomics
C000880,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
C000880,Committee on Armed Services,Defense
C000880,Committee on Energy and Natural Resources,Energy
C000880,Select Committee on Intelligence,Defense
C000880,Committee on Foreign Relations,International Affairs
C000880,Joint Committee on Printing,
C000880,Committee on Homeland Security and Governmental Affairs,Government Operations
C000880,Committee on the Judiciary,Law and Crime
C000880,Committee on Veterans' Affairs,Social Welfare
C000880,Committee on Appropriations,Macroeconomics
C000880,Joint Committee on Taxation,Macroeconomics
C000880,Committee on Education,Education
C000880,"Committee on Science, Space, and Technology",Technology
C000880,Committee on Natural Resources,Public Lands
C000880,Committee on Transportation and Infrastructure,Transportation
C000880,"Committee on Health, Education, Labor, and Pensions",Health
C000880,Committee on Education and the Workforce,Education
C000880,Committee on Agriculture,Agriculture
C000984,Committee on Rules,Government Operations
C000984,Committee on the Judiciary,Law and Crime
C000984,Committee on Ways and Means,Macroeconomics
C000984,Committee on Appropriations,Macroeconomics
C000984,Committee on Oversight and Government Reform,Government Operations
C000984,Committee on Oversight,Government Operations
C000984,Committee on the Budget,Macroeconomics
C000984,Committee on Financial Services,Domestic Commerce
C000984,Committee on Homeland Security and Governmental Affairs,Government Operations
C000984,Committee on House Administration,Government Operations
C000984,Committee on Veterans' Affairs,Social Welfare
C000984,Committee on Transportation and Infrastructure,Transportation
C000984,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C000984,Committee on Homeland Security,Defense
C000984,Committee on Armed Services,Defense
C000984,Committee on Natural Resources,Public Lands
C000984,Committee on Foreign Affairs,International Affairs
C000984,House Permanent Select Committee on Intelligence,Defense
C000984,Committee on Education and the Workforce,Education
C000984,Committee on Energy and Commerce,Energy
C000984,Select Committee on Energy Independence and Global Warming,
C000984,Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi,
C000984,Committee on Education,Education
C000984,"Committee on Banking, Housing, and Urban Affairs",Housing
C000984,Committee on Finance,Macroeconomics
C000984,Committee on Agriculture,Agriculture
C000984,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
C000984,Committee on Commerce,Domestic Commerce
C000984,Committee on Small Business,Domestic Commerce
C000984,"Committee on Science, Space, and Technology",Technology
C000984,Permanent Select Committee on Intelligence,Defense
C001035,Committee on the Judiciary,Law and Crime
C001035,Committee on Foreign Relations,International Affairs
C001035,Committee on Finance,Macroeconomics
C001035,"Committee on Health, Education, Labor, and Pensions",Health
C001035,Special Committee on Aging,Social Welfare
C001035,Committee on Environment and Public Works,Environment
C001035,Select Committee on Intelligence,Defense
C001035,Committee on Rules and Administration,Government Operations
C001035,Committee on Energy and Commerce,Energy
C001035,Committee on Energy and Natural Resources,Energy
C001035,Committee on Homeland Security,Defense
C001035,Committee on Homeland Security and Governmental Affairs,Government Operations
C001035,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C001035,Committee on Transportation and Infrastructure,Transportation
C001035,Committee on Appropriations,Macroeconomics
C001035,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
C001035,Committee on Small Business and Entrepreneurship,Domestic Commerce
C001035,Committee on Natural Resources,Public Lands
C001035,Committee on the Budget,Macroeconomics
C001035,Committee on Indian Affairs,Civil Rights
C001035,Committee on Veterans' Affairs,Social Welfare
C001035,"Committee on Banking, Housing, and Urban Affairs",Housing
C001035,Committee on Financial Services,Domestic Commerce
C001035,Committee on Education and the Workforce,Education
C001035,Joint Committee on Taxation,Macroeconomics
C001035,House Permanent Select Committee on Intelligence,Defense
C001035,Committee on Armed Services,Defense
C001035,Committee on Ways and Means,Macroeconomics
C001035,Committee on Foreign Affairs,International Affairs
C001035,Committee on Oversight and Government Reform,Government Operations
C001035,Committee on House Administration,Government Operations
C001036,Committee on Rules,Government Operations
C001036,Committee on the Judiciary,Law and Crime
C001036,Committee on Ways and Means,Macroeconomics
C001036,Committee on Appropriations,Macroeconomics
C001036,Committee on Education and the Workforce,Education
C001036,Committee on Energy and Commerce,Energy
C001036,Committee on Energy and Natural Resources,Energy
C001036,Committee on Transportation and Infrastructure,Transportation
C001036,Committee on Financial Services,Domestic Commerce
C001036,Select Committee on Intelligence,Defense
C001036,House Permanent Select Committee on Intelligence,Defense
C001036,Committee on Armed Services,Defense
C001036,Committee on Foreign Affairs,International Affairs
C001036,Committee on Foreign Relations,International Affairs
C001036,"Committee on Science, Space, and Technology",Technology
C001036,Committee on Oversight and Government Reform,Government Operations
C001036,Committee on Science and Technology,
C001036,Committee on Commerce,Domestic Commerce
C001036,Committee on Science,Technology
C001036,Committee on Education and Labor,Education
C001036,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C001036,Committee on Natural Resources,Public Lands
C001036,Committee on Public Works,
C001036,"Committee on Banking, Housing, and Urban Affairs",Housing
C001036,Committee on Environment and Public Works,Environment
C001036,Committee on Agriculture,Agriculture
C001036,Committee on the Budget,Macroeconomics
C001036,Committee on Homeland Security,Defense
C001036,Committee on Ethics,Government Operations
C001036,Select Committee on Energy Independence and Global Warming,
C001036,Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi,
C001036,Committee on Oversight,Government Operations
C001036,Committee of the Whole House on the State of the Union,
C001036,Ad Hoc Committee on Energy,
C001036,Committee on Veterans' Affairs,Social Welfare
C001036,"Committee on Health, Education, Labor, and Pensions",Health
C001037,Committee on Financial Services,Domestic Commerce
C001037,"Committee on Banking, Housing, and Urban Affairs",Housing
C001037,Committee on Agriculture,Agriculture
C001037,Committee on Transportation and Infrastructure,Transportation
C001037,Committee on Appropriations,Macroeconomics
C001037,Committee on Commerce,Domestic Commerce
C001037,Committee on Science,Technology
C001037,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C001037,Committee on Environment and Public Works,Environment
C001037,Committee on Ways and Means,Macroeconomics
C001037,Committee on Energy and Commerce,Energy
C001037,Committee on the Budget,Macroeconomics
C001037,Committee on Energy and Natural Resources,Energy
C001037,Committee on Finance,Macroeconomics
C001037,"Committee on Science, Space, and Technology",Technology
C001037,Committee on Public Works,
C001037,Committee on Veterans' Affairs,Social Welfare
C001037,Committee on Small Business,Domestic Commerce
C001037,Committee on Natural Resources,Public Lands
C001037,"Committee on Health, Education, Labor, and Pensions",Health
C001037,Committee on Education and the Workforce,Education
C001037,Committee on the Judiciary,Law and Crime
C001037,Ad Hoc Committee on Energy,
C001037,Committee on Small Business and Entrepreneurship,Domestic Commerce
C001037,Committee on Rules,Government Operations
C001037,Committee on Armed Services,Defense
C001037,Committee on Homeland Security and Governmental Affairs,Government Operations
C001037,Committee on Homeland Security,Defense
C001038,Committee on Homeland Security,Defense
C001038,Committee on Homeland Security and Governmental Affairs,Government Operations
C001038,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C001038,Committee on Transportation and Infrastructure,Transportation
C001038,Committee on Appropriations,Macroeconomics
C001038,Committee on the Judiciary,Law and Crime
C001038,Committee on Rules,Government Operations
C001038,Committee on Ways and Means,Macroeconomics
C001038,Committee on Education and the Workforce,Education
C001038,Committee on Energy and Commerce,Energy
C001038,Committee on the Budget,Macroeconomics
C001038,Committee on Oversight and Government Reform,Government Operations
C001038,Committee on Armed Services,Defense
C001038,Committee on Foreign Affairs,International Affairs
C001038,Committee on Foreign Relations,International Affairs
C001038,Committee on Energy and Natural Resources,Energy
C001038,"Committee on Science, Space, and Technology",Technology
C001038,Committee on Science and Technology,
C001038,Committee on Commerce,Domestic Commerce
C001038,Committee on Science,Technology
C001038,Committee on Education and Labor,Education
C001038,House Permanent Select Committee on Intelligence,Defense
C001038,Select Committee on Intelligence,Defense
C001038,Committee on Financial Services,Domestic Commerce
C001038,Committee on Environment and Public Works,Environment
C001038,Committee on Natural Resources,Public Lands
C001038,Permanent Select Committee on Intelligence,Defense
C001038,Committee on Finance,Macroeconomics
C001038,Joint Committee on Taxation,Macroeconomics
C001038,Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi,
C001045,Committee on Appropriations,Macroeconomics
C001045,Committee on Armed Services,Defense
C001045,House Permanent Select Committee on Intelligence,Defense
C001045,Select Committee on Intelligence,Defense
C001045,Committee on Finance,Macroeconomics
C001045,Committee on Ways and Means,Macroeconomics
C001045,Committee on Foreign Affairs,International Affairs
C001045,Committee on Small Business,Domestic Commerce
C001045,Committee on Small Business and Entrepreneurship,Domestic Commerce
C001045,Committee on the Judiciary,Law and Crime
C001045,Committee on Rules,Government Operations
C001045,Committee on Financial Services,Domestic Commerce
C001045,Committee on Education and the Workforce,Education
C001045,Committee on House Administration,Government Operations
C001045,Committee on Oversight and Government Reform,Government Operations
C001045,Committee on Agriculture,Agriculture
C001045,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
C001045,Committee on Natural Resources,Public Lands
C001045,Committee on Energy and Natural Resources,Energy
C001045,"Committee on Banking, Housing, and Urban Affairs",Housing
C001045,Committee on Transportation and Infrastructure,Transportation
C001045,Committee on Environment and Public Works,Environment
C001045,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C001045,Committee on Energy and Commerce,Energy
C001045,Committee on Science and Technology,
C001045,Committee on Commerce,Domestic Commerce
C001045,Committee on Science,Technology
C001045,Committee on Homeland Security and Governmental Affairs,Government Operations
C001045,Committee on Homeland Security,Defense
C001045,Committee on Rules and Administration,Government Operations
C001045,Joint Committee on Taxation,Macroeconomics
C001045,Joint Committee on the Library,
C001045,Committee on Veterans' Affairs,Social Welfare
C001045,Committee on International Relations,
C001045,Committee on Public Works,
C001045,Committee on Foreign Relations,International Affairs
C001045,"Committee on Science, Space, and Technology",Technology
C001045,Committee on Education and Labor,Education
C001045,"Committee on Health, Education, Labor, and Pensions",Health
C001045,Committee on the Budget,Macroeconomics
C001047,Committee on the Judiciary,Law and Crime
C001047,Committee on Appropriations,Macroeconomics
C001047,Committee on Homeland Security and Governmental Affairs,Government Operations
C001047,Committee on Homeland Security,Defense
C001047,Committee on the Budget,Macroeconomics
C001047,"Committee on Banking, Housing, and Urban Affairs",Housing
C001047,Committee on Foreign Relations,International Affairs
C001047,Joint Committee on Taxation,Macroeconomics
C001047,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C001047,Special Committee on Aging,Social Welfare
C001047,"Committee on Health, Education, Labor, and Pensions",Health
C001047,Committee on Finance,Macroeconomics
C001047,Committee on Veterans' Affairs,Social Welfare
C001047,Committee on Energy and Natural Resources,Energy
C001047,Select Committee on Intelligence,Defense
C001047,House Permanent Select Committee on Intelligence,Defense
C001047,Committee on Foreign Affairs,International Affairs
C001047,"Committee on Science, Space, and Technology",Technology
C001047,Committee on Armed Services,Defense
C001047,Committee on Oversight and Government Reform,Government Operations
C001047,Committee on Energy and Commerce,Energy
C001047,Committee on Ways and Means,Macroeconomics
C001047,Committee on Natural Resources,Public Lands
C001047,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
C001047,Committee on Environment and Public Works,Environment
C001047,Committee on Transportation and Infrastructure,Transportation
C001047,Committee on Indian Affairs,Civil Rights
C001048,Committee on Rules,Government Operations
C001048,Committee on Financial Services,Domestic Commerce
C001048,Committee on the Judiciary,Law and Crime
C001048,Committee on Appropriations,Macroeconomics
C001048,Committee on Homeland Security,Defense
C001048,Committee on Education and the Workforce,Education
C001048,Committee on Education,Education
C001048,Committee on Transportation and Infrastructure,Transportation
C001048,Committee on Environment and Public Works,Environment
C001048,"Committee on Commerce, Science, and Transportation",Domestic Commerce
C001048,Committee on Energy and Commerce,Energy
C001048,Committee on Agriculture,Agriculture
C001048,"Committee on Agriculture, Nutrition, and Forestry",Agriculture
C001048,Committee on Armed Services,Defense
C001048,House Permanent Select Committee on Intelligence,Defense
C001048,Select Committee on Intelligence,Defense
C001048,Committee on Natural Resources,Public Lands
C001048,Committee on Energy and Natural Resources,Energy
C001048,"Committee on Banking, Housing, and Urban Affairs",Housing
C001048,Committee on Science and Technology,
