interest_group,org_id,original_name,original_name_2,similarity_score,current_name,current_name_2,acronym,acronym_2,active,name_match,helper_1,helper_2,helper_3
Justice Research and Statistics Association,1861,Justice Research and Statistics Association,Justice Research and Statistics Association,100,Justice Research and Statistics Association,Justice Research and Statistics Association,JRSA,JRSA,True,True,False,False,False
Juvenile Diabetes Research Foundation International,1862,Juvenile Diabetes Research Foundation International,Juvenile Diabetes Research Foundation International,7,JDRF,Juvenile Diabetes Research Foundation,,JDRF,True,False,False,True,True
Kaiser Permanente,1864,Kaiser Permanente,,100,Kaiser Permanente,,KFHP,,True,True,True,True,True
Kashmiri American Council,1868,Kashmiri American Council,Kashmiri American Council,36,Syed Ghulam Nabi Fai,Kashmiri American Council,ISI,KAC,True,False,False,True,True
Kettering Foundation,1877,Kettering Foundation,Kettering Foundation,100,Kettering Foundation,Kettering Foundation,,,True,True,False,False,False
Labor Council for Latin American Advancement (LCLAA),1886,Labor Council for Latin American Advancement (LCLAA),Labor Council for Latin American Advancement (LCLAA),100,Labor Council for Latin American Advancement,Labor Council for Latin American Advancement,NCSC,LCLAA,True,False,False,False,True
Laborers International Union of North America,1890,Laborers International Union of North America,Laborers International Union of North America,100,Laborers' International Union of North America,Laborers' International Union of North America,,LIUNA,True,False,False,False,True
Laborers-Employers Cooperation & Education Trust,1891,Laborers-Employers Cooperation & Education Trust,Laborers-Employers Cooperation & Education Trust,67,Education in India,Laborers-Employers Cooperation and Education Trust,,LECET,True,False,False,True,True
Land Trust Alliance,1893,Land Trust Alliance,Land Trust Alliance,100,Land Trust Alliance,Land Trust Alliance,,LTA,True,True,False,False,True
Landmark Legal Foundation Center for Civil Rights,1894,Landmark Legal Foundation Center for Civil Rights,Landmark Legal Foundation Center for Civil Rights,100,Landmark Legal Foundation,Landmark Legal Foundation,,,True,False,False,False,False
Law Enforcement Alliance of America,1896,Law Enforcement Alliance of America,Law Enforcement Alliance of America,100,Law Enforcement Alliance of America,Law Enforcement Alliance of America,LEAA,LEAA,True,True,False,False,False
Lawyers' Committee for Civil Rights Under Law,1899,Lawyers' Committee for Civil Rights Under Law,Lawyers' Committee for Civil Rights Under Law,100,Lawyers' Committee for Civil Rights Under Law,Lawyers' Committee for Civil Rights Under Law,,,True,True,False,False,False
Lawyers for Civil Justice,1901,Lawyers for Civil Justice,Lawyers for Civil Justice,81,Lawyers' Committee for Civil Rights Under Law,Lawyers for Civil Justice,,LCJ,True,False,False,True,True
Leadership Conference on Civil Rights,1905,Leadership Conference on Civil Rights,Leadership Conference on Civil Rights,100,Leadership Conference on Civil and Human Rights,Leadership Conference on Civil Rights,NAACP,LCCR,True,False,False,True,True
League of American Bicyclists,1908,League of American Bicyclists,League of American Bicyclists,100,League of American Bicyclists,League of American Bicyclists,LAB,LAB,True,True,False,False,False
League of Conservation Voters,1910,League of Conservation Voters,League of Conservation Voters,100,League of Conservation Voters,League of Conservation Voters,LCV,LCV,True,True,False,False,False
League of Women Voters of the United States,1912,League of Women Voters of the United States,League of Women Voters of the United States,100,League of Women Voters,League of Women Voters,,LWV,True,False,False,False,True
Lebanese Information and Research Center,1914,Lebanese Information and Research Center,Lebanese Information and Research Center,64,Lebanese diaspora,Lebanese Information Center,,,True,False,False,True,False
Legal Services Corp.,1916,Legal Services Corp.,Legal Services Corp.,85,Legal Services Corporation,Legal Services Corporation,,LSC,True,False,False,False,True
Leukemia & Lymphoma Society,1919,Leukemia & Lymphoma Society,Leukemia & Lymphoma Society,100,Leukemia & Lymphoma Society,Leukemia and Lymphoma Society,LLS,LLS,True,True,False,True,False
Library Users of America,1921,Library Users of America,Library Users of America,100,Library,Library Users of America,,,True,False,False,True,False
Lignin Institute,1922,Lignin Institute,Lignin Institute,100,Lignin,Lignin Institute,,,True,False,False,True,False
Local Initiatives Support Corp.,1925,Local Initiatives Support Corp.,Local Initiatives Support Corp.,41,Community Development Financial Institutions Fund,Local Initiatives Support Corporation,,LISC,True,False,False,True,True
Log Cabin Republicans PAC (LCR PAC),1929,Log Cabin Republicans PAC (LCR PAC),Log Cabin Republicans PAC (LCR PAC),100,Log Cabin Republicans,Log Cabin Republican,,LCR PAC,True,False,False,True,True
Lupus Foundation of America,1942,Lupus Foundation of America,Lupus Foundation of America,100,Lupus Foundation of America,Lupus Foundation of America,LFA,LFA,True,True,False,False,False
Lutheran Office for Governmental Affairs/Evangelical Lutheran Church in America,1943,Lutheran Office for Governmental Affairs/Evangelical Lutheran Church in America,Lutheran Office for Governmental Affairs/Evangelical Lutheran Church in America,83,Evangelical Lutheran Church of Finland,Lutheran Office for Governmental Affairs,,,True,False,False,True,False
Machinery Dealers National Association,1947,Machinery Dealers National Association,Machinery Dealers National Association,35,CNH Industrial,CNH Industrial,,MDNA,True,False,False,False,True
Mailing & Fulfillment Services Association,1951,Mailing & Fulfillment Services Association,Mailing & Fulfillment Services Association,48,United States Postal Inspection Service,Mailing and Fulfillment Services Association,,MFSA,True,False,False,True,True
Manufactured Housing Association for Regulatory Reform,1955,Manufactured Housing Association for Regulatory Reform,Manufactured Housing Association for Regulatory Reform,45,United States Department of Housing and Urban Development,Manufactured Housing Association for Regulatory Reform,,MHARR,True,False,False,True,True
Manufactured Housing Institute,1956,Manufactured Housing Institute,Manufactured Housing Institute,100,Manufactured Housing Institute,Manufactured Housing Institute,MHI,MHI,True,True,False,False,False
Manufacturers Alliance/MAPI Inc.,1958,Manufacturers Alliance/MAPI Inc.,Manufacturers Alliance for Productivity and Innovation,39,Microsoft Exchange Server,Manufacturers Alliance,,MAPI,True,False,True,True,True
"Manufacturers Standardization Society of the Valve and Fitting Industry, Inc.",1959,"Manufacturers Standardization Society of the Valve and Fitting Industry, Inc.","Manufacturers Standardization Society of the Valve and Fitting Industry, Inc.",58,Piping and plumbing fitting,Manufacturers Standardization Society,,MSS,True,False,False,True,True
March of Dimes Birth Defects Foundation,1961,March of Dimes Birth Defects Foundation,March of Dimes Birth Defects Foundation,100,March of Dimes,March of Dimes,,,True,False,False,False,False
Marine Corps League,1962,Marine Corps League,Marine Corps League,100,Marine Corps League,Marine Corps League,,MCL,True,True,False,False,True
Marine Technology Society,1966,Marine Technology Society,Marine Technology Society,100,Marine Technology Society,Marine Technology Society,MTS,MTS,True,True,False,False,False
Maritime Institute for Research and Industrial Development,1967,Maritime Institute for Research and Industrial Development,Maritime Institute for Research and Industrial Development,69,Central Leather Research Institute,Maritime Institute for Research and Industrial Development,,,True,False,False,True,False
Maryland National Capital Building Association,1973,Maryland National Capital Building Association,Maryland National Capital Building Association,67,"Capital Centre (Landover, Maryland)",Maryland National Capital Building Association,,,True,False,False,True,False
Meat Importers Council of America,1988,Meat Importers Council of America,Meat Importers Council of America,30,Tyler Lindholm,Meat Importers Council of America,,MICA,True,False,False,True,True
Mechanical Contractors Association of America,1992,Mechanical Contractors Association of America,Mechanical Contractors Association of America,61,Uniform Mechanical Code,Mechanical Contractors Association of America,MCAA,MCAA,True,False,False,True,False
Media Access Project,1993,Media Access Project,Media Access Project,100,Media Access Project,Media Access Project,MAP,MAP,True,True,False,False,False
Media Research Center,1996,Media Research Center,Media Research Center,100,Media Research Center,Media Research Center,MRC,MRC,True,True,False,False,False
Medical Device Manufacturers Association,1997,Medical Device Manufacturers Association,Medical Device Manufacturers Association,100,Medical device,Medical Device Manufacturers Association,,MDMA,True,False,False,True,True
Medical Group Management Association,1998,Medical Group Management Association,Medical Group Management Association,81,American Medical Association,Medical Group Management Association,,MGMA,True,False,False,True,True
Medical Society of the District of Columbia,1999,Medical Society of the District of Columbia,Medical Society of the District of Columbia,100,Medical Society of the District of Columbia,Medical Society of the District of Columbia,,MSDC,True,True,False,False,True
MENC: The National Association for Music Education,2001,MENC: The National Association for Music Education,MENC: The National Association for Music Education,100,National Association for Music Education,National Association for Music Education,ASTA,NAfME,True,False,False,False,True
Mennonite Central Committee Washington Office,2002,Mennonite Central Committee Washington Office,Mennonite Central Committee Washington Office,100,Mennonite Central Committee,Mennonite Central Committee,,,True,False,False,False,False
Meridian International Center,2005,Meridian International Center,Meridian International Center,100,Meridian International Center,Meridian International Center,IVLP,,True,True,False,False,True
Messenger Courier Association of the Americas,2007,Messenger Courier Association of the Americas,Messenger Courier Association of the Americas,69,Bicycle messenger,Messenger Courier Association of the Americas,,MCAA,True,False,False,True,True
Metal Finishing Suppliers Association,2008,Metal Finishing Suppliers Association,Metal Finishing Suppliers Association,33,Kaeser Compressors,Metal Finishing Suppliers Association,,,True,False,False,True,False
"Mexico-US Business Committee, US Council",2014,"Mexico-US Business Committee, US Council","Mexico-US Business Committee, US Council",100,.us,U.S.-Mexico Business Council,,,True,False,False,True,False
Migrant Legal Action Program,2023,Migrant Legal Action Program,Migrant Legal Action Program,50,Migrant domestic workers,Migrant Legal Action Program,,MLAP,True,False,False,True,True
Military Ad Hoc Committee,2024,Military Ad Hoc Committee,Military Ad Hoc Committee,100,Ad hoc,Military Ad Hoc Committee,,,True,False,False,True,False
Military Order of the Purple Heart of the USA,2026,Military Order of the Purple Heart of the USA,Military Order of the Purple Heart of the USA,49,Purple Hearts (2022 film),Military Order of the Purple Heart,,MOPH,True,False,False,True,True
Mineral Policy Center,2032,Mineral Policy Center,Mineral Policy Center,25,Tambogrande,Mineral Policy Center,,,True,False,False,True,False
Mineralogical Society of America,2033,Mineralogical Society of America,Mineralogical Society of America,100,Mineralogical Society of America,Mineralogical Society of America,MSA,MSA,True,True,False,False,False
Minority Business Enterprise Legal Defense and Education Fund,2036,Minority Business Enterprise Legal Defense and Education Fund,Minority Business Enterprise Legal Defense and Education Fund,81,Asian American Legal Defense and Education Fund,Minority Business Enterprise Legal Defense and Education Fund,,MBELDEF,True,False,False,True,True
Money Management Institute,2045,Money Management Institute,Money Management Institute,72,Investment management,Money Management Institute,,MMI,True,False,False,True,True
"Morning Star Institute, The",2053,"Morning Star Institute, The","Morning Star Institute, The",28,Suzan Shown Harjo,Morning Star Institute,,,True,False,False,True,False
Mortgage Bankers Association of America,2054,Mortgage Bankers Association of America,Mortgage Bankers Association of America,81,Consumer Bankers Association,Mortgage Bankers Association,,,True,False,False,True,False
Mortgage Insurance Cos. of America,2055,Mortgage Insurance Cos. of America,Mortgage Insurance Cos. of America,60,Subprime mortgage crisis,Mortgage Insurance Companies of America,,MICA,True,False,False,True,True
Motion Picture Association of America,2057,Motion Picture Association of America,Motion Picture Association of America,100,Motion Picture Association,Motion Picture Association,MPAA,MPAA,True,False,False,False,False
Motor and Equipment Manufacturers Association,2058,Motor and Equipment Manufacturers Association,Motor and Equipment Manufacturers Association,100,Motor & Equipment Manufacturers Association,Motor & Equipment Manufacturers Association,,MEMA,True,False,False,False,True
Motorcycle Industry Council,2060,Motorcycle Industry Council,Motorcycle Industry Council,100,Motorcycle Industry Council,Motorcycle Industry Council,MIC,MIC,True,True,False,False,False
Motorcycle Riders Foundation,2061,Motorcycle Riders Foundation,Motorcycle Riders Foundation,86,Motorcycle Safety Foundation,Motorcycle Riders Foundation,,MRF,True,False,False,True,True
Multistate Tax Commission,2067,Multistate Tax Commission,Multistate Tax Commission,100,Multistate Tax Commission,Multistate Tax Commission,MTC,MTC,True,True,False,False,False
Municipal Securities Rulemaking Board,2068,Municipal Securities Rulemaking Board,Municipal Securities Rulemaking Board,100,Municipal Securities Rulemaking Board,Municipal Securities Rulemaking Board,MSRB,MSRB,True,True,False,False,False
Munitions Industrial Base Task Force,2070,Munitions Industrial Base Task Force,Munitions Industrial Base Task Force,57,List of United States Air Force installations,Munitions Industrial Base Task Force,,,True,False,False,True,False
"NAACP Legal Defense and Educational Fund, Inc.",2075,"NAACP Legal Defense and Educational Fund, Inc.",NAACP Legal Defense and Educational Fund,100,NAACP Legal Defense and Educational Fund,NAACP Legal Defense and Educational Fund,,,True,False,True,False,False
"NAADAC, The Association for Addiction Professionals",2076,"NAADAC, The Association for Addiction Professionals","NAADAC, The Association for Addiction Professionals",62,Addiction psychology,Association for Addiction Professionals,,,True,False,False,True,False
NACHA - The Electronic Payments Association,2077,NACHA - The Electronic Payments Association,The Electronic Payments Association,100,NACHA,Nacha,,,True,False,True,False,False
NAFSA: Association of International Educators,2078,NAFSA: Association of International Educators,NAFSA: Association of International Educators,100,NAFSA: Association of International Educators,Association of International Educators,ESL,ESL,True,True,False,True,False
Native American Rights Fund,2085,Native American Rights Fund,Native American Rights Fund,100,Native American Rights Fund,Native American Rights Fund,NARF,NARF,True,True,False,False,False
National 4-H Council,2086,National 4-H Council,National 4-H Council,100,4-H,4-H,,,True,False,False,False,False
National Abortion Federation,2088,National Abortion Federation,National Abortion Federation,100,National Abortion Federation,National Abortion Federation,NAF,NAF,True,True,False,False,False
National Academy of Opticianry,2090,National Academy of Opticianry,National Academy of Opticianry,42,Optician,National Academy of Opticianry,,,True,False,False,True,False
National Academy of Public Administration,2091,National Academy of Public Administration,National Academy of Public Administration,96,National Academy for Public Administration,National Academy for Public Administration,,,True,False,False,False,False
National Academy of Sciences,2093,National Academy of Sciences,National Academy of Sciences,100,National Academy of Sciences,National Academy of Sciences,NAS,NAS,True,True,False,False,False
"National Accrediting Commission of Cosmetology Arts & Sciences, Inc.",2094,"National Accrediting Commission of Cosmetology Arts & Sciences, Inc.","National Accrediting Commission of Cosmetology Arts & Sciences, Inc.",21,Truman College,National Accrediting Commission of Career Arts and Sciences,,,True,False,False,True,False
National Aeronautic Association of the USA,2095,National Aeronautic Association of the USA,National Aeronautic Association of the USA,100,National Aeronautic Association,National Aeronautic Association,,,True,False,False,False,False
National Affordable Housing Management Association,2096,National Affordable Housing Management Association,National Affordable Housing Management Association,77,Affordable housing by country,National Affordable Housing Management Association,NAHMA,NAHMA,True,False,False,True,False
National Agricultural Aviation Association,2097,National Agricultural Aviation Association,National Agricultural Aviation Association,64,Aviation in India,National Agricultural Aviation Association,,,True,False,False,True,False
National AIDS Fund,2098,National AIDS Fund,National AIDS Fund,67,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",National AIDS Fund,,,True,False,False,True,False
National Air Carrier Association,2099,National Air Carrier Association,National Air Carrier Association,74,Flag carrier,National Air Carrier Association,,,True,False,False,True,False
National Air Traffic Controllers Association,2100,National Air Traffic Controllers Association,National Air Traffic Controllers Association,100,National Air Traffic Controllers Association,National Air Traffic Controllers Association,NATCA,NATCA,True,True,False,False,False
National Air Transportation Association,2101,National Air Transportation Association,National Air Transportation Association,100,National Air Transportation Association,National Air Transportation Association,NATA,NATA,True,True,False,False,False
National Alcohol Beverage Control Association,2102,National Alcohol Beverage Control Association,National Alcohol Beverage Control Association,100,National Alcohol Beverage Control Association,National Alcohol Beverage Control Association,NABCA,NABCA,True,True,False,False,False
National Alliance for Hispanic Health,2104,National Alliance for Hispanic Health,National Alliance for Hispanic Health,100,National Alliance for Hispanic Health,National Alliance for Hispanic Health,NAHH,NAHH,True,True,False,False,False
National Alliance of Postal and Federal Employees,2108,National Alliance of Postal and Federal Employees,National Alliance of Postal and Federal Employees,100,National Alliance of Postal and Federal Employees,National Alliance of Postal and Federal Employees,,,True,True,False,False,False
National Alliance of State and Territorial AIDS Directors,2109,National Alliance of State and Territorial AIDS Directors,National Alliance of State and Territorial AIDS Directors,47,HIV/AIDS in the United States,National Alliance of State & Territorial AIDS Directors,,,True,False,False,True,False
National Alliance to End Homelessness,2110,National Alliance to End Homelessness,National Alliance to End Homelessness,100,National Alliance to End Homelessness,National Alliance to End Homelessness,HEARTH,HEARTH,True,True,False,False,False
National Apartment Association,2111,National Apartment Association,National Apartment Association,100,National Apartment Association,National Apartment Association,NAA,NAA,True,True,False,False,False
National Art Education Association,2112,National Art Education Association,National Art Education Association,100,National Art Education Association,National Art Education Association,NAEA,NAEA,True,True,False,False,False
National Asian Pacific American Legal Consortium,2114,National Asian Pacific American Legal Consortium,National Asian Pacific American Legal Consortium,17,Ghettopoly,National Asian Pacific American Legal Consortium,,,True,False,False,True,False
National Asphalt Pavement Association,2115,National Asphalt Pavement Association,National Asphalt Pavement Association,61,Asphalt concrete,National Asphalt Pavement Association,,,True,False,False,True,False
National Assembly of State Arts Agencies,2117,National Assembly of State Arts Agencies,National Assembly of State Arts Agencies,100,National Assembly of State Arts Agencies,National Assembly of State Arts Agencies,NASAA,NASAA,True,True,False,False,False
National Association for Biomedical Research,2119,National Association for Biomedical Research,National Association for Biomedical Research,100,National Association for Biomedical Research,National Association for Biomedical Research,NABR,NABR,True,True,False,False,False
National Association for College Admission Counseling,2120,National Association for College Admission Counseling,National Association for College Admission Counseling,100,National Association for College Admission Counseling,National Association for College Admission Counseling,NACAC,NACAC,True,True,False,False,False
National Association for Environmental Management,2121,National Association for Environmental Management,National Association for Environmental Management,64,List of environmental organizations,National Association for Environmental Management,,,True,False,False,True,False
National Association for Equal Opportunity in Higher Education,2122,National Association for Equal Opportunity in Higher Education,National Association for Equal Opportunity in Higher Education,73,Higher Education Act of 1965,National Association for Equal Opportunity in Higher Education,HEOA,HEOA,True,False,False,True,False
National Association for Gifted Children,2123,National Association for Gifted Children,National Association for Gifted Children,48,Talented and Gifted,National Association for Gifted Children,,,True,False,False,True,False
National Association for Girls and Women in Sport,2124,National Association for Girls and Women in Sport,National Association for Girls and Women in Sport,67,Association for Intercollegiate Athletics for Women,National Association for Girls and Women in Sport,,,True,False,False,True,False
National Association for Home Care,2125,National Association for Home Care,National Association for Home Care,100,National Association for Home Care & Hospice,National Association for Home Care & Hospice,,,True,True,False,False,False
National Association for Proton Therapy,2127,National Association for Proton Therapy,National Association for Proton Therapy,100,Proton therapy,National Association for Proton Therapy,,,True,False,False,True,False
National Association for Sport and Physical Education,2129,National Association for Sport and Physical Education,National Association for Sport and Physical Education,100,Physical education,National Association for Sport and Physical Education,LRPE,LRPE,True,False,False,True,False
National Association for the Advancement of Colored People,2130,National Association for the Advancement of Colored People,National Association for the Advancement of Colored People,0,,NAACP,NAACP,NAACP,True,False,False,True,False
National Association for the Education of Young Children,2131,National Association for the Education of Young Children,National Association for the Education of Young Children,100,National Association for the Education of Young Children,National Association for the Education of Young Children,NAEYC,NAEYC,True,True,False,False,False
National Association for the Self-Employed,2132,National Association for the Self-Employed,National Association for the Self-Employed,100,National Association for the Self-Employed,National Association for the Self-Employed,,,True,True,False,False,False
National Association for Uniformed Services,2133,National Association for Uniformed Services,National Association for Uniformed Services,63,Uniformed services of the United States,National Association for Uniformed Services,,,True,False,False,True,False
National Association of Affordable Housing Lenders,2134,National Association of Affordable Housing Lenders,National Association of Affordable Housing Lenders,100,National Association of Affordable Housing Lenders,National Association of Affordable Housing Lenders,NAAHL,NAAHL,True,True,False,False,False
National Association of Assistant United States Attorneys,2137,National Association of Assistant United States Attorneys,National Association of Assistant United States Attorneys,100,National Association of Assistant United States Attorneys,National Association of Assistant United States Attorneys,,,True,True,False,False,False
National Association of Attorneys General,2138,National Association of Attorneys General,National Association of Attorneys General,100,National Association of Attorneys General,National Association of Attorneys General,NAAG,NAAG,True,True,False,False,False
National Association of Biology Teachers,2140,National Association of Biology Teachers,National Association of Biology Teachers,100,National Association of Biology Teachers,National Association of Biology Teachers,NABT,NABT,True,True,False,False,False
National Association of Black Accountants,2141,National Association of Black Accountants,National Association of Black Accountants,100,National Association of Black Accountants,National Association of Black Accountants,CPA,CPA,True,True,False,False,False
National Association of Bond Lawyers,2145,National Association of Bond Lawyers,National Association of Bond Lawyers,29,Rose Law Firm,National Association of Bond Lawyers,III,,True,False,False,True,True
National Association of Broadcast Employees and Technicians-Communications Work,2146,National Association of Broadcast Employees and Technicians-Communications Work,National Association of Broadcast Employees and Technicians-Communications Work,55,International Alliance of Theatrical Stage Employees,National Association of Broadcast Employees and Technicians,,,True,False,False,True,False
National Association of Broadcasters,2147,National Association of Broadcasters,National Association of Broadcasters,100,National Association of Broadcasters,National Association of Broadcasters,NAB,NAB,True,True,False,False,False
National Association of Chain Drug Stores,2149,National Association of Chain Drug Stores,National Association of Chain Drug Stores,32,John T. Standley,National Association of Chain Drug Stores,NACDS,NACDS,True,False,False,True,False
National Association of Chemical Distributors,2150,National Association of Chemical Distributors,National Association of Chemical Distributors,76,Chemical tank,National Association of Chemical Distributors,AICHE,AICHE,True,False,False,True,False
National Association of Children's Hospitals Inc.,2151,National Association of Children's Hospitals Inc.,National Association of Children's Hospitals Inc.,55,St. Jude Children's Research Hospital,National Association of Children's Hospitals,,,True,False,False,True,False
National Association of College and University Attorneys,2152,National Association of College and University Attorneys,National Association of College and University Attorneys,44,Post-secondary educational organizations in the United States,National Association of College and University Attorneys,NACUA,NACUA,True,False,False,True,False
National Association of College and University Business Officers,2153,National Association of College and University Business Officers,National Association of College and University Business Officers,53,List of colleges and universities in the United States by endowment,National Association of College and University Business Officers,NACUBO,NACUBO,True,False,False,True,False
National Association of Community Health Centers,2156,National Association of Community Health Centers,National Association of Community Health Centers,82,Community health center,National Association of Community Health Centers,HRSA,HRSA,True,False,False,True,False
National Association of Computer Consultant Businesses,2157,National Association of Computer Consultant Businesses,National Association of Computer Consultant Businesses,100,Consultant,National Association of Computer Consultant Businesses,,,True,False,False,True,False
National Association of Conservation Districts,2158,National Association of Conservation Districts,National Association of Conservation Districts,67,Nassau County Soil and Water Conservation District,National Association of Conservation Districts,,,True,False,False,True,False
National Association of Convenience Stores,2160,National Association of Convenience Stores,National Association of Convenience Stores,100,National Association of Convenience Stores,National Association of Convenience Stores,,,True,True,False,False,False
National Association of Corporate Directors,2161,National Association of Corporate Directors,National Association of Corporate Directors,100,National Association of Corporate Directors,National Association of Corporate Directors,NACD,NACD,True,True,False,False,False
National Association of Counties,2162,National Association of Counties,National Association of Counties,100,National Association of Counties,National Association of Counties,,,True,True,False,False,False
National Association of County Administrators,2163,National Association of County Administrators,National Association of County Administrators,67,National Association for Music Education,National Association of County Administrators,,,True,False,False,True,False
National Association of County Aging Programs,2164,National Association of County Aging Programs,National Association of County Aging Programs,32,Head Start (program),National Association of County Aging Programs,,,True,False,False,True,False
National Association of County and City Health Officials,2165,National Association of County and City Health Officials,National Association of County and City Health Officials,100,National Association of County and City Health Officials,National Association of County and City Health Officials,NACCHO,NACCHO,True,True,False,False,False
National Association of County Civil Attorneys,2166,National Association of County Civil Attorneys,National Association of County Civil Attorneys,41,District attorney,National Association of County Civil Attorneys,,,True,False,False,True,False
National Association of County Engineers,2168,National Association of County Engineers,National Association of County Engineers,43,1995 Fox River Grove busâ€“train collision,National Association of County Engineers,SUV,SUV,True,False,False,True,False
National Association of County Human Services Administrators,2170,National Association of County Human Services Administrators,National Association of County Human Services Administrators,40,List of flags of the United States,National Association of County Human Services Administrators,,,True,False,False,True,False
National Association of County Information Technology Administrators,2172,National Association of County Information Technology Administrators,National Association of County Information Technology Administrators,71,National Rural Education Association,National Association of County Information Technology Administrators,,,True,False,False,True,False
National Association of County Park and Recreation Officials,2173,National Association of County Park and Recreation Officials,National Association of County Park and Recreation Officials,75,Gateway National Recreation Area,National Association of County Park and Recreation Officials,,NACPRO,True,False,False,True,True
National Association of County Treasurers and Finance Officers,2177,National Association of County Treasurers and Finance Officers,National Association of County Treasurers and Finance Officers,84,Government Finance Officers Association,National Association of County Treasurers and Finance Officers,,NACCTFO,True,False,False,True,True
National Association of Criminal Defense Lawyers,2178,National Association of Criminal Defense Lawyers,National Association of Criminal Defense Lawyers,100,National Association of Criminal Defense Lawyers,National Association of Criminal Defense Lawyers,NACDL,NACDL,True,True,False,False,False
National Association of Development Companies,2180,National Association of Development Companies,National Association of Development Companies,70,National Skill Development Corporation,National Association of Development Companies,,,True,False,False,True,False
National Association of Development Organizations,2181,National Association of Development Organizations,National Association of Development Organizations,86,National Association of Latino Fraternal Organizations,National Association of Development Organizations,,,True,False,False,True,False
National Association of Developmental Disabilities Councils,2182,National Association of Developmental Disabilities Councils,National Association of Developmental Disabilities Councils,70,Developmental disability,National Association of Developmental Disabilities Councils,,,True,False,False,True,False
National Association of Elementary School Principals,2183,National Association of Elementary School Principals,National Association of Elementary School Principals,91,National Association of Secondary School Principals,National Association of Elementary School Principals,NAESP,NAESP,True,False,False,True,False
National Association of Energy Service Companies,2184,National Association of Energy Service Companies,National Association of Energy Service Companies,78,Energy service company,National Association of Energy Service Companies,,,True,False,False,True,False
National Association of Enrolled Agents,2185,National Association of Enrolled Agents,National Association of Enrolled Agents,100,National Association of Enrolled Agents,National Association of Enrolled Agents,NAEA,NAEA,True,True,False,False,False
National Association of Evangelicals,2186,National Association of Evangelicals,National Association of Evangelicals,100,National Association of Evangelicals,National Association of Evangelicals,NAE,NAE,True,True,False,False,False
National Association of Executive Secretaries and Administrative Assistants,2187,National Association of Executive Secretaries and Administrative Assistants,National Association of Executive Secretaries and Administrative Assistants,19,Secretary,National Association of Executive Secretaries and Administrative Assistants,,,True,False,False,True,False
National Association of Federal Credit Unions,2188,National Association of Federal Credit Unions,National Association of Federal Credit Unions,90,Credit Union National Association,National Association of Federal Credit Unions,CUNA,CUNA,True,False,False,True,False
National Association of Federal Veterinarians,2190,National Association of Federal Veterinarians,National Association of Federal Veterinarians,63,American Association of Bovine Practitioners,National Association of Federal Veterinarians,,,True,False,False,True,False
National Association of Federally Impacted Schools,2191,National Association of Federally Impacted Schools,National Association of Federally Impacted Schools,50,Federal Impact Aid,National Association of Federally Impacted Schools,,,True,False,False,True,False
National Association of Flood and Stormwater Management Agencies,2192,National Association of Flood and Stormwater Management Agencies,National Association of Flood and Stormwater Management Agencies,65,Stormwater harvesting,National Association of Flood and Stormwater Management Agencies,,,True,False,False,True,False
National Association of Government Communicators,2194,National Association of Government Communicators,National Association of Government Communicators,31,Gennadi Gerasimov,National Association of Government Communicators,NAGC,NAGC,True,False,False,True,False
National Association of Government Employees,2195,National Association of Government Employees,National Association of Government Employees,100,National Association of Government Employees,National Association of Government Employees,NAGE,NAGE,True,True,False,False,False
National Association of Health Underwriters,2197,National Association of Health Underwriters,National Association of Health Underwriters,100,National Association of Health Underwriters,National Association of Health Underwriters,,,True,True,False,False,False
National Association of Hispanic County Officials,2199,National Association of Hispanic County Officials,National Association of Hispanic County Officials,46,"Kaufman County, Texas",National Association of Hispanic County Officials,,,True,False,False,True,False
National Association of Hispanic Journalists,2200,National Association of Hispanic Journalists,National Association of Hispanic Journalists,100,National Association of Hispanic Journalists,National Association of Hispanic Journalists,NAHJ,NAHJ,True,True,False,False,False
National Association of Home Builders of the US,2201,National Association of Home Builders of the US,National Association of Home Builders of the US,37,Parade of Homes,National Association of Home Builders,,,True,False,False,True,False
National Association of Housing and Redevelopment Officials,2202,National Association of Housing and Redevelopment Officials,National Association of Housing and Redevelopment Officials,32,Adrianne Todman,National Association of Housing and Redevelopment Officials,,,True,False,False,True,False
National Association of Housing Cooperatives,2203,National Association of Housing Cooperatives,National Association of Housing Cooperatives,60,Housing cooperative,National Association of Housing Cooperatives,NAHC,NAHC,True,False,False,True,False
National Association of Independent Colleges and Universities,2204,National Association of Independent Colleges and Universities,National Association of Independent Colleges and Universities,100,National Association of Independent Colleges and Universities,National Association of Independent Colleges and Universities,NAICU,NAICU,True,True,False,False,False
National Association of Independent Life Brokerage Agency,2206,National Association of Independent Life Brokerage Agency,National Association of Independent Life Brokerage Agency,30,Insurance broker,National Association of Independent Life Brokerage Agency,,,True,False,False,True,False
National Association of Independent Schools,2207,National Association of Independent Schools,National Association of Independent Schools,100,National Association of Independent Schools,National Association of Independent Schools,NAIS,NAIS,True,True,False,False,False
National Association of Industrial and Office Properties,2208,National Association of Industrial and Office Properties,National Association of Industrial and Office Properties,23,Joseph Soffer,National Association of Industrial and Office Properties,UPMC,UPMC,True,False,False,True,False
National Association of Installation Developers,2209,National Association of Installation Developers,National Association of Installation Developers,26,John R. Allen Jr.,National Association of Installation Developers,,,True,False,False,True,False
