interest_group,org_id,original_name,original_name_2,similarity_score,current_name,current_name_2,acronym,acronym_2,active,name_match,helper_1,helper_2,helper_3
American Political Science Association,431,American Political Science Association,American Political Science Association,100,American Political Science Association,American Political Science Association,APSA,APSA,TRUE,TRUE,FALSE,FALSE,FALSE
American Postal Workers Union,433,American Postal Workers Union,American Postal Workers Union,100,American Postal Workers Union,American Postal Workers Union,APWU,APWU,TRUE,TRUE,FALSE,FALSE,FALSE
American Press Institute,434,American Press Institute,American Press Institute,100,American Press Institute,American Press Institute,API,API,TRUE,TRUE,FALSE,FALSE,FALSE
American Psychiatric Association,437,American Psychiatric Association,American Psychiatric Association,100,American Psychiatric Association,American Psychiatric Association,APA,APA,TRUE,TRUE,FALSE,FALSE,FALSE
American Psychological Association,438,American Psychological Association,American Psychological Association,100,American Psychological Association,American Psychological Association,APA,APA,TRUE,TRUE,FALSE,FALSE,FALSE
American Public Communications Council,440,American Public Communications Council,American Public Communications Council,70,Director of communications,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Public Gas Association,441,American Public Gas Association,American Public Gas Association,100,American Public Gas Association,American Public Gas Association,APGA,,TRUE,TRUE,FALSE,FALSE,TRUE
American Public Health Association,442,American Public Health Association,American Public Health Association,100,American Public Health Association,American Public Human Services Association,APHA,APHSA,TRUE,TRUE,FALSE,TRUE,TRUE
American Public Human Services Association,443,American Public Human Services Association,American Public Human Services Association,100,American Public Human Services Association,American Public Human Services Association,APHSA,APHSA,TRUE,TRUE,FALSE,FALSE,FALSE
American Public Power Association,444,American Public Power Association,American Public Power Association,100,American Public Power Association,American Public Power Association,APPA,APPA,TRUE,TRUE,FALSE,FALSE,FALSE
American Public Works Association,446,American Public Works Association,American Public Works Association,100,American Public Works Association,American Public Works Association,APWA,APWA,TRUE,TRUE,FALSE,FALSE,FALSE
American Pyrotechnics Association,447,American Pyrotechnics Association,American Pyrotechnics Association,100,American Pyrotechnics Association,American Pyrotechnics Association,APA,APA,TRUE,TRUE,FALSE,FALSE,FALSE
American Recreation Coalition,448,American Recreation Coalition,American Recreation Coalition,79,American Association for Nude Recreation,,,ARC,TRUE,FALSE,FALSE,TRUE,TRUE
American Red Cross,449,American Red Cross,American Red Cross,100,American Red Cross,American Red Cross,ARC,,TRUE,TRUE,FALSE,FALSE,TRUE
American Renewal,451,American Renewal,American Renewal,100,A Call for American Renewal,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Resort Development Association,452,American Resort Development Association,American Resort Development Association,32,Walt Disney World,,,ARDA,TRUE,FALSE,FALSE,TRUE,TRUE
American Rivers,455,American Rivers,American Rivers,57,List of rivers of the United States,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Road and Transportation Builders Association (ARTBA),456,American Road and Transportation Builders Association (ARTBA),American Road and Transportation Builders Association (ARTBA),100,American Road and Transportation Builders Association,American Road and Transportation Builders Association,,ARTBA,TRUE,FALSE,FALSE,FALSE,TRUE
American School Counselor Association,458,American School Counselor Association,American School Counselor Association,100,School counselor,,ASCA,ASCA,TRUE,FALSE,FALSE,TRUE,FALSE
American Seed Trade Association,461,American Seed Trade Association,American Seed Trade Association,100,American Seed Trade Association,American Seed Trade Association,ASTA,ASTA,TRUE,TRUE,FALSE,FALSE,FALSE
American Seniors Housing Association,462,American Seniors Housing Association,American Seniors Housing Association,100,American Seniors Housing Association,American Seniors Housing Association,ASHA,ASHA,TRUE,TRUE,FALSE,FALSE,FALSE
American Sheep Industry Association,463,American Sheep Industry Association,American Sheep Industry Association,48,Glossary of sheep husbandry,,,ASIA,TRUE,FALSE,FALSE,TRUE,TRUE
American Shipbuilding Association,464,American Shipbuilding Association,American Shipbuilding Association,62,Sun Shipbuilding & Drydock Co.,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Short Line and Regional Railroad Association,465,American Short Line and Regional Railroad Association,American Short Line and Regional Railroad Association,100,American Short Line and Regional Railroad Association,American Short Line and Regional Railroad Association,ASLRRA,ASLRRA,TRUE,TRUE,FALSE,FALSE,FALSE
American Small Business Alliance,466,American Small Business Alliance,American Small Business Alliance,100,Small business,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Society for Biochemistry and Molecular Biology,467,American Society for Biochemistry and Molecular Biology,American Society for Biochemistry and Molecular Biology,100,American Society for Biochemistry and Molecular Biology,American Society for Biochemistry and Molecular Biology,ASBMB,ASBMB,TRUE,TRUE,FALSE,FALSE,FALSE
American Society for Cell Biology,468,American Society for Cell Biology,American Society for Cell Biology,100,American Society for Cell Biology,American Society for Cell Biology,ASCB,ASCB,TRUE,TRUE,FALSE,FALSE,FALSE
American Society for Clinical Laboratory Science,469,American Society for Clinical Laboratory Science,American Society for Clinical Laboratory Science,100,American Society for Clinical Laboratory Science,American Society for Clinical Laboratory Science,ASCLS,ASCLS,TRUE,TRUE,FALSE,FALSE,FALSE
American Society for Engineering Education,471,American Society for Engineering Education,American Society for Engineering Education,100,American Society for Engineering Education,American Society for Engineering Education,ASEE,ASEE,TRUE,TRUE,FALSE,FALSE,FALSE
American Society for Information Science,473,American Society for Information Science,American Society for Information Science,73,Association for Information Science and Technology,Association for Information Science and Technology,ASIS,ASIS&T,TRUE,FALSE,FALSE,FALSE,TRUE
American Society for Microbiology,475,American Society for Microbiology,American Society for Microbiology,100,American Society for Microbiology,American Society for Microbiology,ASM,ASM,TRUE,TRUE,FALSE,FALSE,FALSE
American Society for Parenteral and Enteral Nutrition,477,American Society for Parenteral and Enteral Nutrition,American Society for Parenteral and Enteral Nutrition,100,American Society for Parenteral and Enteral Nutrition,American Society for Parenteral and Enteral Nutrition,ASPEN,ASPEN,TRUE,TRUE,FALSE,FALSE,FALSE
American Society for Reproductive Medicine,479,American Society for Reproductive Medicine,American Society for Reproductive Medicine,100,American Society for Reproductive Medicine,American Society for Reproductive Medicine,ASRM,ASRM,TRUE,TRUE,FALSE,FALSE,FALSE
American Society for Therapeutic Radiology and Oncology,481,American Society for Therapeutic Radiology and Oncology,American Society for Therapeutic Radiology and Oncology,85,American Society for Radiation Oncology,American Society for Radiation Oncology,,ASTRO,TRUE,FALSE,FALSE,FALSE,TRUE
American Society for Training and Development,482,American Society for Training and Development,American Society for Training and Development,66,Association for Talent Development,Association for Talent Development,ASTD,ATD,TRUE,FALSE,FALSE,FALSE,TRUE
American Society of Anesthesiologists,483,American Society of Anesthesiologists,American Society of Anesthesiologists,100,American Society of Anesthesiologists,American Society of Anesthesiologists,ASA,ASA,TRUE,TRUE,FALSE,FALSE,FALSE
American Society of Appraisers,484,American Society of Appraisers,American Society of Appraisers,100,American Society of Appraisers,American Society of Appraisers,ASA,ASA,TRUE,TRUE,FALSE,FALSE,FALSE
American Society of Association Executives,485,American Society of Association Executives,American Society of Association Executives,100,American Society of Association Executives,American Society of Association Executives,ASAE,ASAE,TRUE,TRUE,FALSE,FALSE,FALSE
American Society of Cataract and Refractive Surgery,486,American Society of Cataract and Refractive Surgery,American Society of Cataract and Refractive Surgery,100,Cataract surgery,,SS-OCT,ASCRS,TRUE,FALSE,FALSE,TRUE,TRUE
American Society of Civil Engineers,487,American Society of Civil Engineers,American Society of Civil Engineers,100,American Society of Civil Engineers,American Society of Civil Engineers,ASCE,ASCE,TRUE,TRUE,FALSE,FALSE,FALSE
American Society of Clinical Oncology,488,American Society of Clinical Oncology,American Society of Clinical Oncology,100,American Society of Clinical Oncology,American Society of Clinical Oncology,ASCO,ASCO,TRUE,TRUE,FALSE,FALSE,FALSE
American Society of Consultant Pharmacists,490,American Society of Consultant Pharmacists,American Society of Consultant Pharmacists,100,American Society of Consultant Pharmacists,American Society of Consultant Pharmacists,ASCP,ASCP,TRUE,TRUE,FALSE,FALSE,FALSE
American Society of Health System Pharmacists,492,American Society of Health System Pharmacists,American Society of Health System Pharmacists,100,American Society of Health-System Pharmacists,American Society of Health-System Pharmacists,,ASHP,TRUE,FALSE,FALSE,FALSE,TRUE
"American Society of Heating, Refrigerating and Air Conditioning Engineers",493,"American Society of Heating, Refrigerating and Air Conditioning Engineers","American Society of Heating, Refrigerating and Air Conditioning Engineers",15,ASHRAE,"American Society of Heating, Refrigerating and Air-Conditioning Engineers",,ASHRAE,TRUE,FALSE,FALSE,TRUE,TRUE
American Society of Hematology,494,American Society of Hematology,American Society of Hematology,100,American Society of Hematology,American Society of Hematology,ASH,ASH,TRUE,TRUE,FALSE,FALSE,FALSE
American Society of Human Genetics,495,American Society of Human Genetics,American Society of Human Genetics,100,American Society of Human Genetics,American Society of Human Genetics,ASHG,ASHG,TRUE,TRUE,FALSE,FALSE,FALSE
American Society of Interior Designers,496,American Society of Interior Designers,American Society of Interior Designers,100,American Society of Interior Designers,American Society of Interior Designers,ASID,ASID,TRUE,TRUE,FALSE,FALSE,FALSE
American Society of Landscape Architects,498,American Society of Landscape Architects,American Society of Landscape Architects,100,American Society of Landscape Architects,American Society of Landscape Architects,ASLA,ASLA,TRUE,TRUE,FALSE,FALSE,FALSE
American Society of Mechanical Engineers,499,American Society of Mechanical Engineers,American Society of Mechanical Engineers,100,American Society of Mechanical Engineers,American Society of Mechanical Engineers,ASME,ASME,TRUE,TRUE,FALSE,FALSE,FALSE
American Society of Naval Engineers,500,American Society of Naval Engineers,American Society of Naval Engineers,100,American Society of Naval Engineers,American Society of Naval Engineers,ASNE,ASNE,TRUE,TRUE,FALSE,FALSE,FALSE
American Society of Newspaper Editors,501,American Society of Newspaper Editors,American Society of Newspaper Editors,93,American Society of News Editors,News Leaders Association,ANPA,NLA,TRUE,FALSE,FALSE,TRUE,TRUE
American Society of Nuclear Cardiology,502,American Society of Nuclear Cardiology,American Society of Nuclear Cardiology,84,Journal of Nuclear Cardiology,,SCOPUS,ASNC,TRUE,FALSE,FALSE,TRUE,TRUE
American Society of Plant Physiologists,504,American Society of Plant Physiologists,American Society of Plant Physiologists,24,Deep Saini,American Society of Plant Biologists,,ASPB,TRUE,FALSE,FALSE,TRUE,TRUE
American Society of Transplantation,506,American Society of Transplantation,American Society of Transplantation,100,American Society of Transplantation,American Society of Transplantation,AST,AST,TRUE,TRUE,FALSE,FALSE,FALSE
American Society of Travel Agents,507,American Society of Travel Agents,American Society of Travel Agents,88,American Society of Travel Advisors,American Society of Travel Advisors,NACTA,ASTA,TRUE,FALSE,FALSE,FALSE,TRUE
American Sociological Association,508,American Sociological Association,American Sociological Association,100,American Sociological Association,American Sociological Association,ASA,ASA,TRUE,TRUE,FALSE,FALSE,FALSE
American Speech-Language-Hearing Foundation,511,American Speech-Language-Hearing Foundation,American Speech-Language-Hearing Foundation,47,Congenital hearing loss,The American Speech�Language�Hearing Association,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Sportfishing Association,512,American Sportfishing Association,American Sportfishing Association,34,Recreational fishing,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Staffing Association,513,American Staffing Association,American Staffing Association,100,American Staffing Association,American Staffing Association,ASA,ASA,TRUE,TRUE,FALSE,FALSE,FALSE
"American Subcontractors Association, Inc.",516,"American Subcontractors Association, Inc.","American Subcontractors Association, Inc.",100,American Subcontractors Association,American Subcontractors Association,IRS,ASA,TRUE,FALSE,FALSE,FALSE,TRUE
American Sugar Alliance,517,American Sugar Alliance,American Sugar Alliance,67,Sugar beet,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Sugarbeet Growers Association,518,American Sugarbeet Growers Association,American Sugarbeet Growers Association,33,Sugar beet,,,ASGA,TRUE,FALSE,FALSE,TRUE,TRUE
American Task Force for Lebanon,520,American Task Force for Lebanon,American Task Force for Lebanon,86,Joint Task Force Lebanon,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Tax Policy Institute,521,American Tax Policy Institute,American Tax Policy Institute,100,Tax policy,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Textile Machinery Association,522,American Textile Machinery Association,American Textile Machinery Association,87,International Textile Machinery Association exhibition,,,ATMA,TRUE,FALSE,FALSE,TRUE,TRUE
American Thoracic Society,524,American Thoracic Society,American Thoracic Society,100,American Thoracic Society,American Thoracic Society,ATS,ATS,TRUE,TRUE,FALSE,FALSE,FALSE
American Tort Reform Association,525,American Tort Reform Association,American Tort Reform Association,100,American Tort Reform Association,American Tort Reform Association,ATRA,ATRA,TRUE,TRUE,FALSE,FALSE,FALSE
American Translators Association,527,American Translators Association,American Translators Association,100,American Translators Association,American Translators Association,ATA,ATA,TRUE,TRUE,FALSE,FALSE,FALSE
American Trauma Society,529,American Trauma Society,American Trauma Society,63,Trauma center,,ACS,ATS,TRUE,FALSE,FALSE,TRUE,TRUE
American Trucking Associations,531,American Trucking Associations,American Trucking Associations,100,American Trucking Associations,American Trucking Associations,ATA,ATA,TRUE,TRUE,FALSE,FALSE,FALSE
American Veterinary Medical Association,533,American Veterinary Medical Association,American Veterinary Medical Association,100,American Veterinary Medical Association,American Veterinary Medical Association,AVMA,AVMA,TRUE,TRUE,FALSE,FALSE,FALSE
American Watch Association,536,American Watch Association,American Watch Association,100,Watch,,,,TRUE,FALSE,FALSE,TRUE,FALSE
American Water Works Association,537,American Water Works Association,American Water Works Association,100,American Water Works Association,American Water Works Association,AWWA,AWWA,TRUE,TRUE,FALSE,FALSE,FALSE
American Waterways Operators,538,American Waterways Operators,American Waterways Operators,100,American Waterways Operators,American Waterways Operators,AWO,AWO,TRUE,TRUE,FALSE,FALSE,FALSE
American Wholesale Marketers Association,539,American Wholesale Marketers Association,American Wholesale Marketers Association,24,Marketing,Convenience Distribution Association,,CDA,TRUE,FALSE,FALSE,TRUE,TRUE
American Wind Energy Association,540,American Wind Energy Association,American Wind Energy Association,100,American Wind Energy Association,American Wind Energy Association,AWEA,AWEA,TRUE,TRUE,FALSE,FALSE,FALSE
American Women in Radio and Television,541,American Women in Radio and Television,American Women in Radio and Television,55,Alliance for Women in Media,Alliance for Women in Media,AWRT,AWM,TRUE,FALSE,FALSE,FALSE,TRUE
American Zinc Association,544,American Zinc Association,American Zinc Association,100,Zinc,,ISZB,,TRUE,FALSE,FALSE,TRUE,TRUE
American Zoo and Aquarium Association,545,American Zoo and Aquarium Association,American Zoo and Aquarium Association,80,Association of Zoos and Aquariums,Association of Zoos and Aquariums,AZA,AZA,TRUE,FALSE,FALSE,FALSE,FALSE
Americans for Democratic Action,552,Americans for Democratic Action,Americans for Democratic Action,100,Americans for Democratic Action,Americans for Democratic Action,ADA,ADA,TRUE,TRUE,FALSE,FALSE,FALSE
Americans for Medical Progress,554,Americans for Medical Progress,Americans for Medical Progress,100,Americans for Medical Progress,Americans for Medical Progress,AMP,,TRUE,TRUE,FALSE,FALSE,TRUE
Americans for Peace Now,555,Americans for Peace Now,Americans for Peace Now,100,Americans for Peace Now,Americans for Peace Now,APN,APN,TRUE,TRUE,FALSE,FALSE,FALSE
Americans for Tax Reform,557,Americans for Tax Reform,Americans for Tax Reform,100,Americans for Tax Reform,Americans for Tax Reform,ATR,ATR,TRUE,TRUE,FALSE,FALSE,FALSE
Americans for the Arts,558,Americans for the Arts,Americans for the Arts,100,Americans for the Arts,Americans for the Arts,NALAA,,TRUE,TRUE,FALSE,FALSE,TRUE
Americans United for Separation of Church and State,560,Americans United for Separation of Church and State,Americans United for Separation of Church and State,100,Americans United for Separation of Church and State,Americans United for Separation of Church and State,,,TRUE,TRUE,FALSE,FALSE,FALSE
American-Turkish Council,561,American-Turkish Council,American-Turkish Council,100,American-Turkish Council,American-Turkish Council,ATC,ATC,TRUE,TRUE,FALSE,FALSE,FALSE
Amnesty International USA,568,Amnesty International USA,Amnesty International USA,100,Amnesty International USA,Amnesty International USA,AIUSA,AIUSA,TRUE,TRUE,FALSE,FALSE,FALSE
Animal Health Institute,574,Animal Health Institute,Animal Health Institute,64,Pirbright Institute,,,AHI,TRUE,FALSE,FALSE,TRUE,TRUE
Anti-Defamation League,576,Anti-Defamation League,Anti-Defamation League,100,Anti-Defamation League,Anti-Defamation League,ADL,ADL,TRUE,TRUE,FALSE,FALSE,FALSE
Anti-Value Added Tax Coalition,577,Anti-Value Added Tax Coalition,Anti-Value Added Tax Coalition,72,Traditional Values Coalition,,,,TRUE,FALSE,FALSE,TRUE,FALSE
Anxiety Disorders Association of America,578,Anxiety Disorders Association of America,Anxiety Disorders Association of America,86,Anxiety and Depression Association of America,Anxiety and Depression Association of America,,ADAA,TRUE,FALSE,FALSE,FALSE,TRUE
AOC,579,AOC,,22,Alexandria Ocasio-Cortez,,ICE,,TRUE,FALSE,TRUE,TRUE,TRUE
Apartment and Office Building Association of Metropolitan Washington,583,Apartment and Office Building Association of Metropolitan Washington,Apartment and Office Building Association of Metropolitan Washington,18,The Dakota,Apartment and Office Building Association of Metropolitan Washington,,AOBA,TRUE,FALSE,FALSE,TRUE,TRUE
"Appalachian Regional Commission, Office of States' Washington Representative o",587,"Appalachian Regional Commission, Office of States' Washington Representative o","Appalachian Regional Commission, Office of States' Washington Representative o",56,United States House of Representatives,,,,TRUE,FALSE,FALSE,TRUE,FALSE
Appraisal Institute,588,Appraisal Institute,Appraisal Institute,100,Appraisal Institute,Appraisal Institute,,,TRUE,TRUE,FALSE,FALSE,FALSE
Arab American Institute,589,Arab American Institute,Arab American Institute,100,Arab American Institute,Arab American Institute,AAI,AAI,TRUE,TRUE,FALSE,FALSE,FALSE
Arena PAC,591,Arena PAC,Arena PAC,54,Pac-12 Conference,Arterial Research and Educational Network in the Asia Pacific,,,TRUE,FALSE,FALSE,TRUE,FALSE
Armed Forces Communications and Electronics Association Headquarters,595,Armed Forces Communications and Electronics Association Headquarters,Armed Forces Communications and Electronics Association Headquarters,14,AFCEA,Armed Forces Communications & Electronics Association,,AFCEA,TRUE,FALSE,FALSE,TRUE,TRUE
Armenian Assembly of America,596,Armenian Assembly of America,Armenian Assembly of America,100,Armenian Assembly of America,Armenian Assembly of America,ATP,,TRUE,TRUE,FALSE,FALSE,TRUE
Armenian National Committee of America,597,Armenian National Committee of America,Armenian National Committee of America,100,Armenian National Committee of America,Armenian National Committee of America,ANCA,ANCA,TRUE,TRUE,FALSE,FALSE,FALSE
Arms Control Association,598,Arms Control Association,Arms Control Association,100,Arms Control Association,Arms Control Association,,,TRUE,TRUE,FALSE,FALSE,FALSE
Army & Air Force Mutual Aid Association,600,Army & Air Force Mutual Aid Association,Army & Air Force Mutual Aid Association,23,AAFMAA,AAFMAA,,AAFMAA,TRUE,FALSE,FALSE,FALSE,TRUE
Asia Society,609,Asia Society,Asia Society,100,Asia Society,Asia Society,WFP,WFP,TRUE,TRUE,FALSE,FALSE,FALSE
"Asian Pacific American Labor Alliance, AFL-CIO",611,"Asian Pacific American Labor Alliance, AFL-CIO","Asian Pacific American Labor Alliance, AFL-CIO",100,AFL–CIO,Asian Pacific American Labor Alliance,,APALA,TRUE,FALSE,FALSE,TRUE,TRUE
Asphalt Institute,613,Asphalt Institute,Asphalt Institute,69,Asphalt shingle,,,,TRUE,FALSE,FALSE,TRUE,FALSE
Asphalt Roofing Manufacturers Association,614,Asphalt Roofing Manufacturers Association,Asphalt Roofing Manufacturers Association,64,Asphalt shingle,,ARMA,ARMA,TRUE,FALSE,FALSE,TRUE,FALSE
"ASPIRA Association, Inc.",615,"ASPIRA Association, Inc.","ASPIRA Association, Inc.",100,ASPIRA Association,ASPIRA Association,,,TRUE,FALSE,FALSE,FALSE,FALSE
Assisted Living Federation of America,617,Assisted Living Federation of America,Assisted Living Federation of America,100,Assisted Living Federation of America,Argentum,ALFA,ALFA,TRUE,TRUE,FALSE,TRUE,FALSE
Association for Advanced Life Underwriting,618,Association for Advanced Life Underwriting,Association for Advanced Life Underwriting,44,Life insurance,,,,TRUE,FALSE,FALSE,TRUE,FALSE
Association for Ambulatory Behavioral Healthcare,619,Association for Ambulatory Behavioral Healthcare,Association for Ambulatory Behavioral Healthcare,37,Partial hospitalization,,,,TRUE,FALSE,FALSE,TRUE,FALSE
Association for Childhood Education International,621,Association for Childhood Education International,Association for Childhood Education International,100,Childhood Education International,Childhood Education International,IKU,ACEI,TRUE,FALSE,FALSE,FALSE,TRUE
Association for Competitive Technology,623,Association for Competitive Technology,Association for Competitive Technology,100,Association for Competitive Technology,Association for Competitive Technology,,,TRUE,TRUE,FALSE,FALSE,FALSE
Association for Dressings and Sauces,624,Association for Dressings and Sauces,Association for Dressings and Sauces,48,Ranch dressing,,,ADS,TRUE,FALSE,FALSE,TRUE,TRUE
Association for Education and Rehabilitation of the Blind & Visually Impaired,625,Association for Education and Rehabilitation of the Blind & Visually Impaired,Association for Education and Rehabilitation of the Blind & Visually Impaired,92,Catalan Association for the Blind and Visually Impaired,Association for Education and Rehabilitation of the Blind and Visually Impaired,,AER,TRUE,FALSE,FALSE,TRUE,TRUE
"Association for Financial Professionals, Inc.",626,"Association for Financial Professionals, Inc.",Association for Financial Professionals,77,Global Association of Risk Professionals,,,AFP,TRUE,FALSE,TRUE,TRUE,TRUE
Association for Gerontology in Higher Education,627,Association for Gerontology in Higher Education,Association for Gerontology in Higher Education,45,Gerontological Society of America,,ESPO,AGHE,TRUE,FALSE,FALSE,TRUE,TRUE
Association for Healthcare Philanthropy,628,Association for Healthcare Philanthropy,Association for Healthcare Philanthropy,100,Philanthropy,,,AHP,TRUE,FALSE,FALSE,TRUE,TRUE
Association for Information and Image Management International,629,Association for Information and Image Management International,Association for Information and Image Management International,56,Document management system,,,AIIM,TRUE,FALSE,FALSE,TRUE,TRUE
"Association for Maximum Service Television, Inc.",632,"Association for Maximum Service Television, Inc.",Association for Maximum Service Television,23,History of HBO,,,MSTV,TRUE,FALSE,TRUE,TRUE,TRUE
Association for Professionals in Infection Control and Epidemiology,634,Association for Professionals in Infection Control and Epidemiology,Association for Professionals in Infection Control and Epidemiology,100,Association for Professionals in Infection Control and Epidemiology,Association for Professionals in Infection Control and Epidemiology,APIC,APIC,TRUE,TRUE,FALSE,FALSE,FALSE
Association for Public Policy Analysis and Management,635,Association for Public Policy Analysis and Management,Association for Public Policy Analysis and Management,100,Association for Public Policy Analysis and Management,Association for Public Policy Analysis and Management,APPAM,APPAM,TRUE,TRUE,FALSE,FALSE,FALSE
Association for Supervision and Curriculum Development,636,Association for Supervision and Curriculum Development,Association for Supervision and Curriculum Development,100,Association for Supervision and Curriculum Development,Association for Supervision and Curriculum Development,,ASCD,TRUE,TRUE,FALSE,FALSE,TRUE
Association for the Advancement of Medical Instrumentation,637,Association for the Advancement of Medical Instrumentation,Association for the Advancement of Medical Instrumentation,100,Association for the Advancement of Medical Instrumentation,Association for the Advancement of Medical Instrumentation,AAMI,AAMI,TRUE,TRUE,FALSE,FALSE,FALSE
Association for the Study of Afro-American Life and History,638,Association for the Study of Afro-American Life and History,Association for the Study of Afro-American Life and History,96,Association for the Study of African American Life and History,Association for the Study of African American Life and History,ABWH,ASALH,TRUE,FALSE,FALSE,FALSE,TRUE
Association for Unmanned Vehicle Systems International,640,Association for Unmanned Vehicle Systems International,Association for Unmanned Vehicle Systems International,93,Association for Uncrewed Vehicle Systems International,Association for Uncrewed Vehicle Systems International,AUVSI,AUVSI,TRUE,FALSE,FALSE,FALSE,FALSE
Association for Women in Science,641,Association for Women in Science,Association for Women in Science,100,Association for Women in Science,Association for Women in Science,AWIS,AWIS,TRUE,TRUE,FALSE,FALSE,FALSE
Association of Academic Health Centers,642,Association of Academic Health Centers,Association of Academic Health Centers,59,Academic medical centre,,,AAHC,TRUE,FALSE,FALSE,TRUE,TRUE
Association of American Chambers of Commerce in Latin America,643,Association of American Chambers of Commerce in Latin America,Association of American Chambers of Commerce in Latin America,46,White Latin Americans,,,AACCLA,TRUE,FALSE,FALSE,TRUE,TRUE
Association of American Colleges and Universities,644,Association of American Colleges and Universities,Association of American Colleges and Universities,100,American Association of Colleges and Universities,American Association of Colleges and Universities,,AAC&U,TRUE,FALSE,FALSE,FALSE,TRUE
Association of American Geographers,645,Association of American Geographers,Association of American Geographers,100,American Association of Geographers,American Association of Geographers,,AAG,TRUE,FALSE,FALSE,FALSE,TRUE
Association of American Law Schools,646,Association of American Law Schools,Association of American Law Schools,100,Association of American Law Schools,Association of American Law Schools,AALS,AALS,TRUE,TRUE,FALSE,FALSE,FALSE
Association of American Medical Colleges,647,Association of American Medical Colleges,Association of American Medical Colleges,100,Association of American Medical Colleges,Association of American Medical Colleges,AAMC,AAMC,TRUE,TRUE,FALSE,FALSE,FALSE
Association of American Publishers,649,Association of American Publishers,Association of American Publishers,100,Association of American Publishers,Association of American Publishers,AAP,AAP,TRUE,TRUE,FALSE,FALSE,FALSE
Association of American Railroads,650,Association of American Railroads,Association of American Railroads,100,Association of American Railroads,Association of American Railroads,AAR,AAR,TRUE,TRUE,FALSE,FALSE,FALSE
Association of American Universities,651,Association of American Universities,Association of American Universities,100,Association of American Universities,Association of American Universities,AAU,AAU,TRUE,TRUE,FALSE,FALSE,FALSE
Association of American Veterinary Medical Colleges,652,Association of American Veterinary Medical Colleges,Association of American Veterinary Medical Colleges,100,Association of American Veterinary Medical Colleges,Association of American Veterinary Medical Colleges,AAVMC,AAVMC,TRUE,TRUE,FALSE,FALSE,FALSE
Association of California Water Agencies,656,Association of California Water Agencies,Association of California Water Agencies,51,1996 California Proposition 218,,,ACWA,TRUE,FALSE,FALSE,TRUE,TRUE
Association of Collegiate Schools of Architecture,657,Association of Collegiate Schools of Architecture,Association of Collegiate Schools of Architecture,60,Howard Davis (professor of architecture),,ACSA,ACSA,TRUE,FALSE,FALSE,TRUE,FALSE
Association of Community Cancer Centers,658,Association of Community Cancer Centers,Association of Community Cancer Centers,40,City of Hope National Medical Center,,SC-IC,ACCC,TRUE,FALSE,FALSE,TRUE,TRUE
Association of Community College Trustees,659,Association of Community College Trustees,Association of Community College Trustees,100,Association of Community College Trustees,Association of Community College Trustees,ACCT,ACCT,TRUE,TRUE,FALSE,FALSE,FALSE
Association of Consulting Foresters of America,660,Association of Consulting Foresters of America,Association of Consulting Foresters of America,24,Arborist,,,ACF,TRUE,FALSE,FALSE,TRUE,TRUE
Association of Flight Attendants,664,Association of Flight Attendants,Association of Flight Attendants,100,Association of Flight Attendants,Association of Flight Attendants,CWA,AFA,TRUE,TRUE,FALSE,FALSE,TRUE
Association of Former Intelligence Officers,666,Association of Former Intelligence Officers,Association of Former Intelligence Officers,100,Association of Former Intelligence Officers,Association of Former Intelligence Officers,AFIO,AFIO,TRUE,TRUE,FALSE,FALSE,FALSE
Association of Fund Raising Professionals,667,Association of Fund Raising Professionals,Association of Fund Raising Professionals,60,International FOP Association,Association of Fundraising Professionals,AIMM,AFP,TRUE,FALSE,FALSE,TRUE,TRUE
Association of Fund-Raising Distributors and Suppliers,668,Association of Fund-Raising Distributors and Suppliers,Association of Fund-Raising Distributors and Suppliers,39,School fundraising,,,AFRDS,TRUE,FALSE,FALSE,TRUE,TRUE
Association of Governing Boards of Universities and Colleges,669,Association of Governing Boards of Universities and Colleges,Association of Governing Boards of Universities and Colleges,88,Governing boards of colleges and universities in the United States,,,AGB,TRUE,FALSE,FALSE,TRUE,TRUE
Association of Government Accountants,670,Association of Government Accountants,Association of Government Accountants,100,Association of Government Accountants,Association of Government Accountants,AGA,AGA,TRUE,TRUE,FALSE,FALSE,FALSE
Association of Home Appliance Manufacturers,671,Association of Home Appliance Manufacturers,Association of Home Appliance Manufacturers,100,Association of Home Appliance Manufacturers,Association of Home Appliance Manufacturers,EPS,AHAM,TRUE,TRUE,FALSE,FALSE,TRUE
Association of Jesuit Colleges and Universities,675,Association of Jesuit Colleges and Universities,Association of Jesuit Colleges and Universities,100,Association of Jesuit Colleges and Universities,Association of Jesuit Colleges and Universities,AJCU,AJCU,TRUE,TRUE,FALSE,FALSE,FALSE
